,Films,Year,GoldenGlobes,Nominations
182,Babel,2007,1,7
183,Babette's Feast,1989,0,1
184,Baby Boom,1988,0,2
185,Baby Doll,1957,3,6
186,Baby Driver,2018,0,1
187,Bachelor In Paradise,1962,0,1
188,Back To The Future,1986,0,4
189,Bad Santa,2004,0,1
190,"Bad Seed, The",1957,1,2
191,"Bad and The Beautiful, The",1953,0,2
192,Ballad Of A Soldier,1961,0,1
193,Balzac and The Little Chinese Seamstress,2003,0,1
194,Bambi,1948,1,1
195,Bandits,2002,0,2
196,"Banger Sisters, The",2003,0,1
197,"Barefoot Contessa, The",1955,1,1
198,Barfly,1988,0,1
199,Barney's Version,2011,1,1
200,Barry Lyndon,1976,0,2
201,Barton Fink,1992,0,1
202,Basic Instinct,1993,0,2
203,Batman,1990,0,1
204,Batman Forever,1996,0,1
205,Battle Hymn,1957,1,1
206,Battle Of The Bulge,1966,0,2
207,Battle of the Sexes,2018,0,2
208,Battleground,1950,2,2
209,Beasts of No Nation,2016,0,1
210,Beautiful Boy,2019,0,1
211,Beauty and the Beast,1992,3,4
212,Because They're Young,1961,1,1
213,Becket,1965,2,5
214,Bedknobs and Broomsticks,1972,0,1
215,Bee Movie,2008,0,1
216,Beethoven's 2nd,1994,0,1
217,Before Midnight,2014,0,1
218,Before Night Falls,2001,0,1
219,Before Sundown,1957,1,1
220,Beginners,2012,1,1
221,Behind The Sun,2002,0,1
222,Being John Malkovich,2000,0,4
223,Being Julia,2005,1,1
224,Being There,1980,2,6
225,"Bell, Book and Candle",1959,0,1
226,Bells Are Ringing,1961,0,2
227,Ben,1973,1,1
228,Ben-Hur,1960,4,5
229,Bend It Like Beckham,2004,0,1
230,Benjamin,1969,0,1
231,Benji,1975,1,1
232,Benny & Joon,1994,0,1
233,Bernie,2013,0,1
234,Berry Gordy's The Last Dragon,1986,0,1
235,"Best Exotic Marigold Hotel, The",2013,0,2
236,Best Friends,1983,0,1
237,"Best Little Whorehouse In Texas, The",1983,0,2
238,Best in Show,2001,0,1
239,Betty Blue,1987,0,1
240,Beverly Hills Cop,1985,0,2
241,Beverly Hills Cop II,1988,0,1
242,Beyond the Sea,2005,0,1
243,Big,1989,1,2
244,"Big Chill, The",1984,0,2
245,"Big Country, The",1959,1,1
246,"Big Dig, The",1970,0,1
247,Big Eyes,2015,1,3
248,Big Fish,2004,0,4
249,Big Hero 6,2015,0,1
250,"Big Short, The",2016,0,4
251,Billy Bathgate,1992,0,1
252,Billy Budd,1963,0,1
253,Billy Elliot,2001,0,2
254,Billy Jack,1972,0,1
255,Billy Rose's Jumbo,1963,0,5
256,Bird,1989,1,3
257,"Birdcage, The",1997,0,2
258,Birdman,2015,2,7
259,Birdman of Alcatraz,1963,0,2
260,"Birds Do It, Bees Do It",1975,0,1
261,"Birds, The",1964,0,1
262,Birth,2005,0,1
263,Biutiful,2011,0,1
264,Bizet's Carmen,1985,0,1
265,BlacKkKlansman,2019,0,4
266,Black Narcissus,1948,1,1
267,Black Orpheus,1960,1,1
268,Black Panther,2019,0,3
269,"Black Stallion, The",1980,0,1
270,Black Swan,2011,1,4
271,Blade Runner,1983,0,1
272,"Blind Side, The",2010,1,1
273,Blood Alley,1956,0,1
274,Blood Diamond,2007,0,1
275,Bloomfield,1971,0,1
276,Blow-Up,1967,0,1
277,Blue Denim,1960,0,1
278,Blue Jasmine,2014,1,2
279,"Blue Lagoon, The",1981,0,1
280,Blue Sky,1995,1,1
281,Blue Valentine,2011,0,2
282,Blue Velvet,1987,0,2
283,Blue is the Warmest Color,2014,0,1
284,Bob & Carol & Ted & Alice,1970,0,2
285,Bob Roberts,1993,0,1
286,Bobby,2007,0,2
287,Bobby Deerfield,1978,0,1
288,Body Double,1985,0,1
289,Body Heat,1982,0,1
290,Boeing Boeing,1966,0,2
291,Bohemian Rhapsody,2019,2,2
292,Bolt,2009,0,2
293,Bonnie and Clyde,1968,0,7
294,Boogie Nights,1998,1,2
295,"Book of Life, The",2015,0,1
296,Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan,2007,1,2
297,Born Free,1967,0,3
298,Born Yesterday,1951,1,4
299,Born on the Fourth of July,1990,4,5
300,Borsalino,1971,0,1
301,"Boss Baby, The ",2018,0,1
302,"Boston Strangler, The",1969,0,1
303,"Bostonians, The",1985,0,1
304,Bound for Glory,1977,1,4
305,"Boxer, The",1998,0,3
306,"Boxtrolls, The",2015,0,1
307,Boy Erased,2019,0,2
308,"Boy Friend, The",1972,2,3
309,Boyhood,2015,3,5
310,Boys Don't Cry,2000,1,2
311,"Boys From Brazil, The",1979,0,1
312,"Boys In Company C, The",1979,0,1
313,"Boys in the Band, The",1971,0,1
314,Boys' Night Out,1963,0,1
315,Brave,2013,1,1
316,"Brave One, The",2008,0,1
317,"Brave One, The (1956)",1957,0,1
318,Braveheart,1996,1,4
319,"Breadwinner, The ",2018,0,1
320,Breaker Morant,1981,0,1
321,Breakfast On Pluto,2006,0,1
322,Breakfast at Tiffany's,1962,0,2
323,Breaking Away,1980,1,4
324,Breaking the Waves,1997,0,2
325,Breezy,1974,0,3
326,"Bride Wore Black, The",1969,0,1
327,Bridesmaids,2012,0,2
328,Bridge of Spies,2016,0,1
329,"Bridge on the River Kwai, The",1958,3,4
330,Bridge to the Sun,1962,0,1
331,"Bridges of Madison County, The",1996,0,2
332,Bridget Jones's Diary,2002,0,2
333,Bridget Jones: The Edge Of Reason,2005,0,1
334,Brigadoon,1955,1,1
335,Bright Victory,1952,1,3
336,Broadcast News,1988,0,5
337,Broadway Danny Rose,1985,0,1
338,Brokeback Mountain,2006,4,7
339,Broken Arrow,1951,1,2
340,Broken Embraces,2010,0,1
341,Broken Lance,1955,1,1
342,Brooklyn,2016,0,1
343,Brother of Sleep,1996,0,1
344,"Brother, Can You Spare a Dime?",1976,0,1
345,Brothers,2010,0,2
346,"Buddy Holly Story, The",1979,0,1
347,Bugsy,1992,1,8
348,Bugsy Malone,1977,0,3
349,Bull Durham,1989,0,2
350,Bullets Over Broadway,1995,1,1
351,Bulworth,1999,0,3
352,Bundle of Joy,1957,0,1
353,"Buona Sera, Mrs. Campbell",1969,0,3
354,Burlesque,2011,1,3
355,Burn After Reading,2009,0,2
356,Bus Stop,1957,0,2
357,Buster,1989,0,1
358,But Not For Me,1960,0,3
359,Butch Cassidy and The Sundance Kid,1970,1,4
360,Butterfield 8,1961,0,1
361,Butterflies Are Free,1973,1,5
362,Butterfly,1982,1,3
363,Bye Bye Birdie,1964,0,2
364,Cabaret,1973,3,9
365,Cactus Flower,1970,1,5
366,Cadillac Records,2009,0,1
367,"Cage aux Folles, La",1980,1,1
368,Cake,2015,0,1
369,Calendar Girls,2004,0,1
370,California Suite,1979,0,2
371,Call Me By Your Name,2018,0,3
372,Call Me Madam,1954,1,1
373,Camelot,1968,3,6
374,Camille Claudel,1990,0,1
375,Can You Ever Forgive Me?,2019,0,2
376,Can-Can,1961,1,1
377,Candy,1969,0,1
378,Cape Fear,1992,0,2
379,Capernaum,2019,0,1
380,Capote,2006,1,1
381,Captain Fantastic,2017,0,1
382,"Captain Newman, M.D.",1964,0,4
383,Captain Phillips,2014,0,4
384,Car Wash,1977,0,1
385,"Cardinal, The",1964,2,6
386,Career,1960,1,1
387,"Caretakers, The",1964,0,3
388,Carlito's Way,1994,0,2
389,Carmen,1984,0,1
390,Carmen Jones,1955,2,2
391,Carnage,2012,0,2
392,Carnal Knowledge,1972,1,3
393,Carol,2016,0,5
394,"Carpetbaggers, The",1965,0,1
395,Carrie,1977,0,1
396,Cars,2007,1,1
397,Cars 2,2012,0,1
398,Casino,1996,1,2
399,Casino Jack,2011,0,1
400,Cast Away,2001,1,1
401,Casualties of War,1990,0,1
402,Cat Ballou,1966,1,5
403,Cat People,1983,0,2
404,Cat on a Hot Tin Roof,1959,0,2
405,Catch Me If You Can,2003,0,1
406,Central Station,1999,1,2
407,"Ceremony, The",1964,1,1
408,"Chalk Garden, The",1965,0,1
409,"Challenge, The",1975,0,1
410,"Champ, The",1980,1,2
411,Champion,1950,1,2
412,Chances Are,1990,0,1
413,Changeling,2009,0,2
414,Chaplin,1993,0,3
415,"Chapman Report, The",1963,0,4
416,Chapter Two,1980,0,2
417,Charade,1964,0,2
418,Chariots of Fire,1982,1,1
419,Charley and The Angel,1974,0,1
420,Charlie Wilson's War,2008,0,5
421,Charlie and the Chocolate Factory,2006,0,1
422,Charly,1969,1,3
423,Chasing Amy,1998,0,1
424,Cheyenne Autumn,1965,0,2
425,Chicago,2003,3,8
426,Chicken Run,2001,0,1
427,"Children of Sanchez, The",1979,0,1
