,Films,Year,GoldenGlobes,Nominations
782,"Gambler, The",1975,0,1
783,Gandhi,1983,5,5
784,Gangs of New York,2003,2,5
785,Garbo Talks,1985,0,1
786,Gaslight,1945,1,1
787,Gattaca,1998,0,1
788,"Gene Krupa Story, The",1959,0,1
789,Generation,1970,0,1
790,Genevieve,1955,1,1
791,"Gentleman Tramp, The",1976,0,1
792,Gentleman's Agreement,1948,4,4
793,Georgy Girl,1967,1,6
794,Get Out,2018,0,2
795,Get Out Your Handkerchiefs,1979,0,1
796,Get Shorty,1996,1,3
797,Get Yourself a College Girl!,1965,0,1
798,"Getaway, The",1973,0,1
799,Gett: The Trial of Viviane Amsalem,2015,0,1
800,Ghost,1991,1,4
801,Ghost World,2002,0,2
802,Ghostbusters,1985,0,3
803,Ghosts of Mississippi,1997,0,1
804,Giant,1957,0,4
805,Gigi,1959,3,6
806,Gigot,1963,0,1
807,Ginger & Fred,1987,0,1
808,Girl,2019,0,1
809,"Girl Can't Help It, The",1957,0,1
810,Girl Friends,1979,0,1
811,Girl With Green Eyes,1965,1,1
812,Girl With a Pearl Earring,2004,0,2
813,"Girl, Interrupted",2000,1,1
814,Girls in the Sun,1970,0,1
815,"Give 'Em Hell, Harry!",1976,0,1
816,Give My Regards To Broad Street,1985,0,1
817,Gladiator,2001,2,6
818,"Glass Menagerie, The",1988,0,1
819,Glengarry Glen Ross,1993,0,1
820,"Global Affair, A",1964,0,2
821,Gloria,1981,0,1
822,Glory,1990,1,5
823,"Glory Brigade, The",1954,1,1
824,Gnomeo & Juliet,2012,0,1
825,"Go-Between, The",1972,0,1
826,God's Little Acre,1959,0,1
827,"Godfather Part II, The",1975,0,6
828,"Godfather Part III, The",1991,0,7
829,"Godfather, The",1973,5,7
830,Gods and Monsters,1999,1,3
831,Goin' South,1979,0,1
832,Going Home,1972,0,1
833,Going My Way,1945,3,3
834,Gold,2017,0,1
835,Goldengirl,1980,0,1
836,Gomorrah,2009,0,1
837,Gone Baby Gone,2008,0,1
838,Gone Girl,2015,0,4
839,Good Bye Lenin!,2004,0,1
840,"Good Morning, Vietnam",1988,1,1
841,"Good Night, and Good Luck",2006,0,4
842,Good Will Hunting,1998,1,4
843,GoodFellas,1991,0,5
844,"Goodbye Girl, The",1978,3,5
845,"Goodbye, Children",1988,0,1
846,"Goodbye, Columbus",1970,1,3
847,"Goodbye, Mr. Chips",1970,1,3
848,Gorillas in the Mist: The Adventure of Dian Fossey,1989,1,3
849,Gorky Park,1984,0,1
850,Gosford Park,2002,1,5
851,Grace Is Gone,2008,0,2
852,"Graduate, The",1968,5,8
853,Gran Torino,2009,0,1
854,"Grand Budapest Hotel, The",2015,1,4
855,Grand Canyon,1992,0,1
856,Grand Prix,1967,0,2
857,Grandma,2016,0,1
858,"Grass is Greener, The",1961,0,2
859,Gravity,2014,1,4
860,Grease,1979,0,5
861,"Great Debaters, The",2008,0,1
862,"Great Escape, The",1964,0,1
863,"Great Gatsby, The",1975,1,4
864,"Great Man, The",1958,0,1
865,"Great Santini, The",1981,0,1
866,"Great Waltz, The",1973,0,1
867,"Great White Hope, The",1971,1,3
868,Green Book,2019,3,5
869,Green Card,1991,2,3
870,"Green Mile, The",2000,0,1
871,"Grey Fox, The",1984,0,2
872,"Grifters, The",1991,0,1
873,"Group, The",1967,0,1
874,"Guard, The",2012,0,1
875,Guarding Tess,1995,0,1
876,Guess Who's Coming To Dinner,1968,0,7
877,Guns at Batasi,1965,1,1
878,Guys and Dolls,1956,2,2
879,Gypsy,1963,1,5
880,Hacksaw Ridge,2017,0,3
881,"Hail, Hero!",1970,0,1
882,Hair,1980,1,2
883,Hairspray,2008,0,3
884,Hamlet (1948),1949,2,2
885,Hamlet (1964),1967,0,1
886,Hand In Hand,1961,1,1
887,"Hangover, The",2010,1,1
888,Hannah and Her Sisters,1987,1,5
889,Hans Christian Andersen,1953,0,2
890,Hanussen,1989,0,1
891,"Happiest Millionaire, The",1968,0,1
892,Happiness,1999,0,1
893,"Happy Ending, The",1970,0,3
894,Happy Feet,2007,1,2
895,"Happy Road, The",1958,1,1
896,Happy-Go-Lucky,2009,1,2
897,Harlow,1966,0,1
898,Harold and Maude,1972,0,2
899,Harry & Tonto,1975,1,2
900,Harry and The Butler,1962,0,1
901,Harvey,1951,1,2
902,"Hatful of Rain, A",1958,0,3
903,"Haunting, The",1964,0,1
904,Havana,1991,0,1
905,Hawaii,1967,2,3
906,"Hawaiians, The",1971,0,1
907,Hear My Song,1992,0,1
908,"Heart Is a Lonely Hunter, The",1969,0,4
909,Heart Like a Wheel,1984,0,1
910,"Heartbreak Kid, The",1973,0,3
911,Hearts and Minds,1975,0,1
912,Heaven & Earth,1994,1,1
913,Heaven Can Wait,1979,3,3
914,"Heaven Knows, Mr. Allison",1958,0,1
915,Hedda,1976,0,2
916,Hedwig and the Angry Inch,2002,0,1
917,Hell To Eternity,1961,0,1
918,Hell and High Water,1954,0,2
919,Hell or High Water,2017,0,3
920,"Hello, Dolly!",1970,0,5
921,Hemingway's Adventures of a Young Man,1963,0,5
922,Her,2014,1,3
923,Herbie Rides Again,1975,0,1
924,Hercules,1998,0,1
925,Here Comes The Groom,1952,0,1
926,Hero,2003,0,1
927,Heroes,1978,0,1
928,Hidden Figures,2017,0,2
929,"Hiding Place, The",1976,0,1
930,High And Low,1964,0,1
931,High Anxiety,1978,0,2
932,High Fidelity,2001,0,1
933,High Heels,1992,0,1
934,High Noon,1953,4,7
935,"High and The Mighty, The",1955,1,2
936,Hilary and Jackie,1999,0,1
937,Hiroshima Mon Amour,1961,0,1
938,Hit The Deck,1956,0,1
939,Hitchcock,2013,0,1
940,Hitler,1962,0,1
941,Hoffa,1993,0,1
942,Hollywoodland,2007,0,1
943,Home Alone,1991,0,2
944,Home Before Dark,1959,0,3
945,Home of the Brave,2007,0,1
946,Honeymoon In Vegas,1993,0,2
947,Honky,1972,0,1
948,Hook,1992,0,1
949,Hoosiers,1987,0,1
950,Hope Springs,2013,0,1
951,Hope and Glory,1988,1,3
952,Hopscotch,1981,0,1
953,"Horse Whisperer, The",1999,0,2
954,Hotel Rwanda,2005,0,3
955,Hotel Transylvania,2013,0,1
956,House of Flying Daggers,2005,0,1
957,House of Games,1988,0,1
958,House of Sand and Fog,2004,0,1
959,House of Usher,1961,0,1
960,Houseboat,1959,0,1
961,How To Train Your Dragon,2011,0,1
962,How to Train Your Dragon 2,2015,1,1
963,Howards End,1993,1,4
964,Hud,1964,0,5
965,Hugo,2012,1,3
966,"Hundred-Foot Journey, The",2015,0,1
967,"Hurricane, The",2000,1,3
968,Hurry Sundown,1968,0,1
969,"Hurt Locker, The",2010,0,3
970,Husbands,1971,0,1
971,Husbands and Wives,1993,0,1
972,"Hush...Hush, Sweet Charlotte",1965,1,1
973,Hustle & Flow,2006,0,1
974,Hyde Park on Hudson,2013,0,1
975,I Am Love,2011,0,1
976,I Even Met Happy Gypsies,1969,0,1
977,I Love My Wife,1971,0,1
978,"I Love You, Alice B. Toklas!",1969,0,1
979,I Never Promised You a Rose Garden,1978,0,2
980,I Never Sang For My Father,1971,0,2
981,I Remember Mama,1949,1,1
982,I Want To Live!,1959,1,3
983,I am a Dancer,1975,0,1
984,I'll Cry Tomorrow,1956,1,1
985,I'll See You in My Dreams,1953,0,1
986,I'm Not There,2008,1,1
987,I've Loved You So Long,2009,0,2
988,"I, Tonya",2018,1,3
989,Ice Castles,1980,0,2
990,"Ice Storm, The",1998,0,1
991,Ida,2015,0,1
992,"Ideal Husband, An",2000,0,2
993,"Ides of March, The",2012,0,4
994,"Idolmaker, The",1981,1,2
995,If Beale Street Could Talk,2019,1,3
996,"If It's Tuesday, This Must Be Belgium",1970,0,1
997,If a Man Answers,1963,0,2
998,If....,1970,0,1
999,Igby Goes Down,2003,0,2
1000,"Illusionist, The",2011,0,1
1001,Images,1973,0,1
1002,Imitation of Life,1960,1,2
1003,Impossible On Saturday,1967,0,1
1004,"Impossible, The",2013,0,1
1005,In & Out,1998,0,2
1006,In A Better World,2011,1,1
1007,In America,2004,0,2
1008,In Bruges,2009,1,3
1009,In Cold Blood,1968,0,1
1010,In Country,1990,0,1
1011,In Her Shoes,2006,0,1
1012,In Love and War - 1958,1959,1,1
1013,In The Fade,2018,1,1
1014,In The Land Of Blood And Honey,2012,0,1
1015,In the Bedroom,2002,1,3
1016,In the Heat of the Night,1968,3,7
1017,In the Line of Fire,1994,0,1
1018,In the Name of the Father,1994,0,4
1019,Inception,2011,0,4
1020,"Incredible Sarah, The",1977,0,1
1021,Incredibles 2,2019,0,1
1022,"Incredibles, The",2005,0,1
1023,Indiana Jones and The Last Crusade,1990,0,1
1024,Indiscreet,1959,0,3
1025,Indochine,1993,1,1
1026,Infinitely Polar Bear,2016,0,1
1027,Inglourious Basterds,2010,1,4
1028,Inherent Vice,2015,0,1
1029,Inherit the Wind (TV - 1999),2000,1,1
1030,Inherit the Wind - 1960,1961,1,3
1031,"Inn of the Sixth Happiness, The",1959,1,3
1032,Inside Daisy Clover,1966,2,3
1033,Inside Llewyn Davis,2014,0,3
1034,Inside Out,2016,1,1
1035,Interiors,1979,0,4
1036,"Interns, The",1963,0,2
1037,Interstellar,2015,0,1
1038,Interview with the Vampire (The Vampire Chronicles),1995,0,2
1039,Into The Wild,2008,1,2
1040,Into the Woods,2015,0,3
1041,Intruder In The Dust,1950,0,2
1042,Investigation of a Citizen Above Suspicion,1971,0,1
1043,Invictus,2010,0,3
1044,Iris,2002,1,3
1045,Irma La Douce,1964,1,3
1046,"Iron Lady, The",2012,1,1
1047,Ironweed,1988,0,1
1048,Irreconcilable Differences,1985,0,2
1049,Is Paris Burning?,1967,0,1
1050,Isadora,1969,0,1
1051,Island of the Blue Dolphins,1965,0,1
1052,Isle of Dogs,2019,0,2
1053,It Came From Outer Space,1954,0,1
1054,It Started in Naples,1961,0,2
1055,It's A Wonderful Life,1947,1,1
1056,It's Complicated,2010,0,3
1057,"It's a Mad, Mad, Mad, Mad World",1964,0,2
1058,"Italian Job, The",1970,0,1
1059,Ivanhoe,1953,0,2
1060,J. Edgar,2012,0,1
1061,JFK,1992,1,4
1062,Jackie,2017,0,1
1063,Jackie Brown,1998,0,2
1064,Jacknife,1990,0,1
1065,Jacqueline Susann's Once Is Not Enough,1976,1,1
1066,Janis,1975,0,1
1067,Jaws,1976,1,4
1068,"Jazz Singer, The",1981,0,3
1069,Jean De Florette,1988,0,1
1070,Jenny,1971,0,1
1071,Jeremy,1974,0,1
1072,Jerry Maguire,1997,1,3
1073,Jesus Christ Superstar,1974,0,6
1074,Jesus of Montreal,1990,0,1
1075,Joanna,1969,0,1
1076,John Carpenter's Starman,1985,0,2
1077,John Grisham's The Rainmaker,1998,0,1
1078,John and Mary,1970,0,3
1079,Johnny Belinda,1949,2,2
1080,Johnny Got His Gun,1972,0,1
1081,"Jokers, The",1968,0,1
1082,Jonathan Livingston Seagull,1974,1,2
1083,Joseph Andrews,1978,0,1
1084,Joy,2016,1,2
1085,Joyeux Noel (Merry Christmas),2006,0,1
1086,"Judge, The",2015,0,1
1087,Judgment at Nuremberg,1962,2,6
1088,Julie & Julia,2010,1,2
1089,Juliet of the Spirits,1966,1,1
1090,Junior,1995,0,3
1091,Juno,2008,0,3
1092,Justiz,1994,0,1
1093,Kagemusha (The Shadow Warrior),1981,0,1
1094,Kansas City Bomber,1973,0,1
1095,"Karate Kid Part II, The",1987,0,1
1096,"Karate Kid, The",1985,0,1
1097,Kate & Leopold,2002,1,2
1098,Kazablan,1974,0,2
1099,"Kid From Left Field, The",1954,0,2
1100,"Kids Are All Right, The",2011,2,4
1101,Kiiroi karasu (Yellow Crow),1958,0,1
1102,Kill Bill (Vol. 1),2004,0,1
1103,Kill Bill Vol. 2,2005,0,2
1104,"Killing Fields, The",1985,1,6
1105,"Killing of Sister George, The",1969,0,1
1106,King Kong (2005),2006,0,2
1107,King Of Kings,1962,0,1
1108,King Solomon's Mines,1951,1,1
1109,"King and I, The",1957,2,4
1110,King of the Gypsies,1979,0,1
1111,Kinky Boots,2007,0,1
1112,Kinsey,2005,0,3
1113,Kiss Me Goodbye,1983,0,1
1114,Kiss Of Death,1948,1,1
1115,Kiss of the Spider Woman,1986,0,4
1116,Klute,1972,1,2
1117,Kolya,1997,1,1
1118,Kon Tiki,2013,0,1
1119,Kotch,1972,1,4
1120,Kramer vs. Kramer,1980,4,8
1121,Kubo and the Two Strings,2017,0,1
1122,Kundun,1998,0,1
1123,Kung Fu Hustle,2006,0,1
1124,Kung Fu Panda,2009,0,1
1125,L'eau vive (Girl And The River),1959,0,1
1126,"L-Shaped Room, The",1964,1,2
1127,L.A. Confidential,1998,1,5
1128,"LEGO Movie, The",2015,0,1
1129,La Bamba,1988,0,1
1130,La La Land,2017,7,7
1131,La Vie En Rose,2008,1,1
1132,La ronde (Circle Of Love),1966,0,1
1133,La vérité (The Truth),1961,1,1
1134,Labor Day,2014,0,1
1135,Lacombe Lucien,1975,0,1
1136,Lady Bird,2018,2,4
1137,Lady Sings the Blues,1973,1,3
1138,Lady in a Cage,1966,0,1
1139,"Lady in the Van, The",2016,0,1
1140,"Landlord, The",1971,0,1
1141,Lars and the Real Girl,2008,0,1
1142,Last Chance Harvey,2009,0,2
1143,"Last Detail, The",1974,0,2
1144,"Last Emperor, The",1988,4,5
1145,"Last King of Scotland, The",2007,1,1
1146,"Last Metro, The",1981,0,1
1147,"Last Of The Mohicans, The",1993,0,1
1148,"Last Picture Show, The",1972,1,6
1149,"Last Station, The",2010,0,2
1150,Last Tango in Paris,1974,0,2
1151,"Last Temptation of Christ, The",1989,0,2
1152,"Late Show, The",1978,0,1
1153,Lawrence Of Arabia,1963,4,9
1154,Le Mans,1972,0,1
1155,Lea,1998,0,1
1156,"League of Their Own, A",1993,0,2
1157,Leaving Las Vegas,1996,1,4
1158,Legally Blonde,2002,0,2
1159,Legends of the Fall,1995,0,4
1160,"Leisure Seeker, The ",2018,0,1
1161,Lemon Popsicle,1979,0,1
1162,Lenny,1975,0,3
1163,"Leopard, The",1964,0,1
1164,Les Girls,1958,2,3
1165,Les Misérables,1996,1,1
1166,Les Misérables,2013,3,4
1167,Let's Make Love,1961,0,1
1168,Letters from Iwo Jima,2007,1,2
1169,Leviathan,2015,1,1
1170,Li'l Abner,1960,0,1
1171,Liar Liar,1998,0,1
1172,"Liberation of L. B. Jones, The",1971,0,1
1173,Lies My Father Told Me,1976,1,2
1174,Life With Father,1948,1,1
1175,"Life and Times of Judge Roy Bean, The",1973,0,2
1176,Life as a House,2002,0,1
1177,Life of Pi,2013,1,3
1178,"Light in the Forest, The",1959,0,1
1179,Like Two Crocodiles,1996,0,1
1180,Like Water for Chocolate,1993,0,1
1181,Lili,1954,1,1
1182,Lilies of the Field,1964,2,4
1183,Lilith,1965,0,1
1184,Lincoln,2013,1,7
1185,Lion,2017,0,4
1186,Lipstick,1977,0,1
1187,Lisa,1963,0,1
1188,Little Big Man,1971,0,1
1189,Little Boy Lost,1954,1,1
1190,Little Children,2007,0,3
1191,Little Dorrit,1989,0,1
1192,Little Fauss and Big Halsey,1971,0,1
1193,"Little Mermaid, The",1990,2,4
1194,Little Miss Sunshine,2007,0,2
1195,"Little Prince, The",1975,1,4
1196,"Little Romance, A",1980,0,2
1197,Little Shop of Horrors,1987,0,2
1198,Little Voice,1999,1,3
1199,Live For Life,1968,1,3
1200,"Living Desert, The",1954,1,1
1201,Living Free,1973,0,1
1202,Lolita,1963,0,5
1203,Lone Star,1997,0,1
1204,Lonelyhearts,1959,0,1
1205,Long Ago Tomorrow,1972,0,2
1206,Long Day's Journey Into Night (1962),1963,0,1
1207,"Longest Day, The",1963,1,2
1208,Longtime Companion,1991,1,1
1209,Look Back In Anger,1960,0,1
1210,Looking For Mr. Goodbar,1978,0,1
1211,"Lord of the Rings, The",1979,0,1
1212,"Lord of the Rings: The Two Towers, The",2003,0,2
1213,Lorenzo's Oil,1993,0,1
1214,Lost in Siberia,1992,0,1
1215,Lost in Translation,2004,3,5
1216,Louisa,1951,0,1
1217,Love,1974,0,1
1218,Love & Mercy,2016,0,2
1219,Love & Other Drugs,2011,0,2
1220,Love Actually,2004,0,2
1221,Love Child,1983,0,1
1222,Love Field,1993,0,1
1223,Love Is A Many-Splendored Thing,1956,1,1
1224,"Love Song For Bobby Long, A",2005,0,1
1225,Love Story,1971,5,7
1226,Love at First Bite,1980,0,1
1227,Love in the Afternoon,1958,0,3
1228,Love in the Time of Cholera,2008,0,1
1229,Love with the Proper Stranger,1964,0,2
1230,Loveless,2018,0,1
1231,"Lovely Bones, The",2010,0,1
1232,Lover Come Back,1962,0,1
1233,Lovers and Other Strangers,1971,0,1
1234,Loves of a Blonde,1967,0,1
1235,Loving,2017,0,2
1236,Loving Vincent,2018,0,1
1237,Lucky Lady,1976,0,1
1238,Luna,1980,0,1
1239,Luna e l'Altra,1997,0,1
1240,Lust For Life,1957,1,4
1241,"Lust, Caution",2008,0,1
1242,M*A*S*H,1971,1,6
1243,Ma Vie en Rose,1998,1,1
1244,MacArthur,1978,0,1
1245,Machine Gun Preacher,2012,0,1
1246,"Mad Adventures of 'Rabbi' Jacob, The",1975,0,1
1247,Mad Max Beyond Thunderdome,1986,0,1
1248,Mad Max:Fury Road,2016,0,2
1249,Madame Bovary,1992,0,1
1250,Madame Bovary,2001,0,1
1251,Madame Rosa,1978,0,1
1252,Madame Sousatzka,1989,0,2
1253,Madron,1971,0,1
1254,Magic,1979,0,1
1255,"Magnificent Seven, The",1961,0,1
1256,Magnolia,2000,1,2
1257,"Main Event, The",1980,0,1
1258,Making Love,1983,0,1
1259,Malcolm X,1993,0,1
1260,Malèna,2001,0,2
1261,"Mambo Kings, The",1993,0,1
1262,Mame,1975,0,2
1263,Mamma Mia!,2009,0,2
1264,"Man From The Alamo, The",1954,0,1
1265,"Man Who Wasn't There, The",2002,0,3
1266,"Man Who Would Be King, The",1976,0,1
1267,"Man from Snowy River, The",1983,0,1
1268,"Man in the Glass Booth, The",1976,0,1
1269,Man of La Mancha,1973,0,2
1270,Man on the Moon,2000,1,2
1271,Manchester by the Sea,2017,1,5
1272,"Manchurian Candidate (2004), The",2005,0,1
1273,"Manchurian Candidate, The",1963,1,2
1274,Mandela: Long Walk to Freedom,2014,1,3
1275,Manhattan,1980,0,1
1276,Manhattan Murder Mystery,1994,0,1
1277,Mannequin,1988,0,1
1278,"Map of the World, A",2000,0,1
1279,Maps To The Stars,2015,0,1
1280,Marathon Man,1977,1,5
1281,Marjoe,1973,0,1
1282,Marriage Italian Style,1965,1,3
1283,"Marriage of Maria Braun, The",1980,0,1
1284,"Marriage-Go-Round, The",1961,0,1
1285,Married to the Mob,1989,0,1
1286,Marty,1956,1,1
1287,Marvin's Room,1997,0,1
1288,Mary Poppins,1965,1,4
1289,Mary Poppins Returns,2019,0,4
1290,"Mary, Queen of Scots",1972,0,5
1291,Mask,1986,0,2
1292,"Mask of Zorro, The",1999,0,2
1293,"Mask, The",1995,0,1
1294,"Master Gunfighter, The",1976,0,1
1295,Master and Commander: The Far Side of the World,2004,0,3
1296,"Master, The",2013,0,3
1297,"Matador, The",2006,0,1
1298,Match Point,2006,0,4
1299,"Mating Season, The",1952,0,1
1300,Maxie,1986,0,1
1301,Mayerling,1970,0,1
1302,Me and the Colonel,1959,1,3
1303,"Me, Natalie",1970,1,1
1304,Meet The Parents,2001,0,1
1305,Melvin and Howard,1981,1,4
1306,"Member of the Wedding, The",1953,1,1
1307,Memento,2002,0,1
1308,Memoirs of a Geisha,2006,1,2
1309,"Memory of Justice, The",1977,0,1
1310,Men With Guns,1999,0,1
1311,Men in Black,1998,0,1
1312,Meredith Willson's The Music Man,1963,1,6
1313,Mermaids,1991,0,1
1314,"Messenger, The",2010,0,1
1315,Michael Clayton,2008,0,4
1316,Michael Collins,1997,0,2
1317,Micki & Maude,1985,1,2
1318,Middle of the Night,1960,0,1
1319,Midnight Cowboy,1970,1,7
1320,Midnight Express,1979,6,8
1321,Midnight In Paris,2012,1,4
1322,Midnight Lace,1961,0,1
1323,Midnight Run,1989,0,2
1324,Mighty Aphrodite,1996,1,1
1325,"Mighty Heart, A",2008,0,1
1326,"Milagro Beanfield War, The",1989,0,1
1327,Milk,2009,0,1
1328,Million Dollar Baby,2005,2,5
1329,Miracle On 34th Street,1948,2,2
1330,Mirage,1973,0,1
1331,Mirai,2019,0,1
1332,Misery,1991,1,1
1333,Miss Congeniality,2001,0,2
1334,Miss Potter,2007,0,1
1335,Miss Sloane,2017,0,1
1336,Missing,1983,0,5
1337,"Mission, The",1987,2,5
1338,Mississippi Burning,1989,0,4
1339,Mister 880,1951,1,1
1340,Moana,2017,0,2
1341,Mogambo,1954,1,1
1342,Molly and Lawless John,1973,0,1
1343,Molly's Game,2018,0,2
1344,Mona Lisa,1987,1,4
1345,Mona Lisa Smile,2004,0,1
1346,Money From Home,1954,0,2
1347,Moneyball,2012,0,4
1348,Monkey Business,1953,0,1
1349,Monsieur Ibrahim,2004,0,1
1350,Monsieur Vincent,1950,0,1
1351,Monsoon Wedding,2002,0,1
1352,Monster,2004,1,1
1353,Monster House,2007,0,1
1354,Monster's Ball,2002,0,1
1355,"Month by the Lake, A",1996,0,1
1356,Moon Over Parador,1989,0,2
1357,Moonlight,2017,1,6
1358,Moonrise Kingdom,2013,0,1
1359,Moonstruck,1988,2,5
1360,Morgan!,1967,0,2
1361,Moscow on the Hudson,1985,0,1
1362,"Mosquito Coast, The",1987,0,2
1363,Mother,1997,0,1
1364,Moulin Rouge,1953,1,1
1365,Moulin Rouge!,2002,3,6
1366,Mourning Becomes Electra,1948,1,1
1367,"Mouse on the Moon, The",1964,0,1
1368,"Move Over, Darling",1964,0,1
1369,Movie Movie,1979,0,3
1370,"Movies That Made Us, The",1974,0,1
1371,Mr. & Mrs. Bridge,1991,0,1
1372,Mr. Hobbs Takes a Vacation,1963,0,1
1373,Mr. Holland's Opus,1996,0,2
1374,Mr. Saturday Night,1993,0,2
1375,Mrs. Brown,1998,1,1
1376,Mrs. Doubtfire,1994,2,2
1377,Mrs. Henderson Presents,2006,0,3
1378,Mrs. Parker and The Vicious Circle,1995,0,1
1379,Mrs. Parkington,1945,1,1
1380,Mrs. Soffel,1985,0,1
1381,Much Ado About Nothing,1994,0,1
1382,Mudbound,2018,0,2
1383,Mulan,1999,0,2
1384,Mulholland Dr.,2002,0,4
1385,Munich,2006,0,2
1386,"Muppet Movie, The",1980,0,1
1387,Murder by Death,1977,0,1
1388,"Murder, Inc.",1961,0,1
1389,Muriel's Wedding,1996,0,1
1390,Murphy's Romance,1986,0,2
1391,"Muse, The",2000,0,1
1392,Music Box,1990,0,1
1393,Music of the Heart,2000,0,1
1394,Mustang,2016,0,1
1395,Mustang: The House That Joe Built,1976,0,1
1396,Mutiny on the Bounty,1963,0,3
1397,My Best Friend's Wedding,1998,0,3
1398,My Big Fat Greek Wedding,2003,0,2
1399,My Brilliant Career,1981,0,1
1400,My Cousin Rachel,1953,1,2
1401,My Fair Lady,1965,4,5
1402,My Favorite Year,1983,0,3
1403,My Left Foot,1990,0,2
1404,My Life as a Dog,1988,1,1
1405,My Life as a Zucchini,2017,0,1
1406,My Man Godfrey,1958,0,1
1407,My Pal Gus,1953,0,1
1408,My Six Convicts,1953,1,1
1409,My Uncle's Legacy,1990,0,1
1410,My Week With Marilyn,2012,1,3
1411,Mystic River,2004,2,5
1412,Nashville,1976,1,11
1413,"Nasty Girl, The",1991,0,1
1414,Natural Born Killers,1995,0,1
1415,"Natural, The",1985,0,1
1416,Navajo,1953,1,2
1417,Nebraska,2014,0,5
1418,Nell,1995,0,3
1419,Neruda,2017,0,1
1420,Network,1977,4,5
1421,Never Look Away,2019,0,1
1422,Never On Sunday,1961,1,1
1423,Never Say Never Again,1984,0,1
1424,"New Interns, The",1965,0,1
1425,"New Kind of Love, A",1964,0,1
1426,"New Land, The",1973,0,1
1427,"New Leaf, A",1972,0,2
1428,"New York, New York",1978,0,4
1429,"Next Stop, Greenwich Village",1977,0,2
1430,Nicholas Nickleby,2003,0,1
1431,Nicholas and Alexandra,1972,0,3
1432,Night Shift,1983,0,1
1433,"Night of the Iguana, The",1965,0,5
1434,Nightcrawler,2015,0,1
1435,Nine,2010,0,5
1436,Nine to Five (1980),1981,0,3
1437,"Ninth Configuration, The",1981,1,3
1438,Nixon,1996,0,1
1439,No Country for Old Men,2008,2,4
1440,No Man's Land,2002,1,1
1441,No Way Back,1955,0,1
1442,Noah,2015,0,1
1443,Nobody's Fool,1995,0,1
1444,Nocturnal Animals,2017,1,3
1445,Nomad: The Warrior,2007,0,1
1446,Norma Rae,1980,1,3
1447,North Country,2006,0,2
1448,Norwood,1971,0,1
1449,"Not With My Wife, You Don't",1967,0,1
1450,Notes On a Scandal,2007,0,3
1451,Notting Hill,2000,0,3
1452,Nowhere In Africa,2003,0,1
1453,"Nun's Story, The",1960,0,6
1454,Nurse Betty,2001,1,1
1455,Nuts,1988,0,3
1456,"Nutty Professor, The",1997,0,1
1457,"O Brother, Where Art Thou?",2001,1,2
1458,O Lucky Man!,1974,0,1
1459,"Odd Couple, The (1968)",1969,0,3
1460,Odd Obsession,1960,0,1
1461,Odds Against Tomorrow,1960,0,1
1462,"Officer and a Gentleman, An",1983,2,8
1463,"Official Story, The",1986,1,1
1464,Oh! What a Lovely War,1970,1,1
1465,Oklahoma Crude,1974,0,1
1466,"Old Man & the Gun, The",2019,0,1
1467,"Old Man and the Sea, The",1959,0,1
1468,Oliver & Company,1989,0,1
1469,Oliver!,1969,2,6
1470,"Omen, The",1977,0,1
1471,On Golden Pond,1982,3,6
1472,On Her Majesty's Secret Service,1970,0,1
1473,On The Beach,1960,1,5
1474,On The Riviera,1952,1,1
1475,On The Town,1950,0,1
1476,On the Waterfront,1955,4,4
1477,Once Upon a Time in America,1985,0,2
1478,One Chance,2014,0,1
1479,One Fine Day,1997,0,1
1480,One Flew Over The Cuckoo's Nest,1976,6,6
1481,One Hundred Steps,2001,0,1
1482,One Is a Lonely Number,1973,0,1
1483,One True Thing,1999,0,1
1484,"One, Two, Three",1962,0,2
1485,"Onion Field, The",1980,0,1
1486,Only When I Laugh,1982,1,3
1487,Opening Night,1978,0,2
1488,Operation Petticoat,1960,0,2
1489,"Opposite Sex, The",1957,0,1
1490,"Opposite of Sex, The",1999,0,1
1491,Ordet,1956,0,1
1492,Ordinary People,1981,5,8
1493,Osama,2004,1,1
1494,Otello,1987,0,1
1495,Othello,1966,0,4
1496,"Other Half Of The Sky: a China Memoir, The",1976,0,1
1497,"Other Side of the Mountain, The",1976,1,4
1498,"Others, The",2002,0,1
1499,Our Man in Havana,1961,0,1
1500,Out of Africa,1986,3,6
1501,"Out-of-Towners, The",1971,0,2
1502,Outrageous Fortune,1988,0,1
1503,"Owl and The Pussycat, The",1971,0,1
1504,"Pad, The",1967,1,1
1505,Paint Your Wagon,1970,0,2
1506,Pal Joey,1958,1,2
1507,Pan's Labyrinth,2007,0,1
1508,Paper Lion,1969,0,1
1509,"Paper Man, The",1964,0,1
1510,Paper Moon,1974,1,6
1511,Paper Tiger,1976,0,1
1512,"Paperboy, The",2013,0,1
1513,Papillon,1974,0,1
1514,Paradise Now,2006,1,1
1515,Pardon Mon Affaire,1978,0,1
1516,"Parent Trap, The",1962,0,1
1517,Parenthood,1990,0,3
1518,"Paris, Texas",1985,0,1
1519,"Passage to India, A",1985,3,5
1520,Passion Fish,1993,0,2
1521,Pat and Mike,1953,0,2
1522,Patch Adams,1999,0,2
1523,"Patch of Blue, A",1966,1,6
1524,Patton,1971,1,3
1525,"Pawnbroker, The",1966,0,1
1526,Pearl Harbor,2002,0,2
1527,"Pedestrian, The",1974,1,1
1528,Peggy Sue Got Married,1987,0,2
