,title,GoldenGlobes,Nominations_GoldenGlobes,Oscars,Nominations_Oscars
121,night at the museum battle of the smithsonian,0.0,0.0,0.0,0.0
122,xmen origins wolverine,0.0,0.0,0.0,0.0
123,the matrix revolutions,0.0,0.0,0.0,0.0
124,frozen,1.0,2.0,2.0,2.0
125,the matrix reloaded,0.0,0.0,0.0,0.0
126,thor the dark world,0.0,0.0,0.0,0.0
127,mad max fury road,0.0,0.0,6.0,10.0
128,angels  demons,0.0,0.0,0.0,0.0
129,thor,0.0,0.0,0.0,0.0
130,bolt,0.0,2.0,0.0,1.0
131,gforce,0.0,0.0,0.0,0.0
132,wrath of the titans,0.0,0.0,0.0,0.0
133,dark shadows,0.0,0.0,0.0,0.0
134,mission impossible  rogue nation,0.0,0.0,0.0,0.0
135,the wolfman,0.0,0.0,1.0,1.0
136,bee movie,0.0,1.0,0.0,0.0
137,kung fu panda 2,0.0,0.0,0.0,1.0
138,the last airbender,0.0,0.0,0.0,0.0
139,mission impossible iii,0.0,0.0,0.0,0.0
140,white house down,0.0,0.0,0.0,0.0
141,mars needs moms,0.0,0.0,0.0,0.0
142,flushed away,0.0,0.0,0.0,0.0
143,pan,0.0,0.0,0.0,0.0
144,mr peabody  sherman,0.0,0.0,0.0,0.0
145,troy,0.0,0.0,0.0,1.0
146,madagascar 3 europes most wanted,0.0,0.0,0.0,0.0
147,die another day,0.0,1.0,0.0,0.0
148,ghostbusters,0.0,0.0,0.0,0.0
149,armageddon,0.0,0.0,0.0,4.0
150,men in black ii,0.0,0.0,0.0,0.0
151,beowulf,0.0,0.0,0.0,0.0
152,kung fu panda 3,0.0,0.0,0.0,0.0
153,mission impossible  ghost protocol,0.0,0.0,0.0,0.0
154,rise of the guardians,0.0,1.0,0.0,0.0
155,fun with dick and jane,0.0,0.0,0.0,0.0
156,the last samurai,0.0,3.0,0.0,4.0
157,exodus gods and kings,0.0,0.0,0.0,0.0
158,star trek,0.0,0.0,1.0,4.0
159,spiderman,0.0,0.0,0.0,2.0
160,how to train your dragon 2,1.0,1.0,0.0,1.0
161,gods of egypt,0.0,0.0,0.0,0.0
162,stealth,0.0,0.0,0.0,0.0
163,watchmen,0.0,0.0,0.0,0.0
164,lethal weapon 4,0.0,0.0,0.0,0.0
165,hulk,0.0,0.0,0.0,0.0
166,gi joe retaliation,0.0,0.0,0.0,0.0
167,sahara,0.0,0.0,0.0,0.0
168,final fantasy the spirits within,0.0,0.0,0.0,0.0
169,captain america the first avenger,0.0,0.0,0.0,0.0
170,the world is not enough,0.0,0.0,0.0,0.0
171,master and commander the far side of the world,0.0,3.0,2.0,10.0
172,the twilight saga breaking dawn  part 2,0.0,0.0,0.0,0.0
173,happy feet two,0.0,0.0,0.0,0.0
174,the incredible hulk,0.0,0.0,0.0,0.0
175,the bfg,0.0,0.0,0.0,0.0
176,the revenant,3.0,4.0,3.0,12.0
177,turbo,0.0,0.0,0.0,0.0
178,rango,0.0,1.0,1.0,1.0
179,penguins of madagascar,0.0,0.0,0.0,0.0
180,the bourne ultimatum,0.0,0.0,3.0,3.0
181,kung fu panda,0.0,1.0,0.0,1.0
