,title,GoldenGlobes,Nominations_GoldenGlobes,Oscars,Nominations_Oscars
551,fools gold,0.0,0.0,0.0,0.0
552,funny people,0.0,0.0,0.0,0.0
553,the kingdom,0.0,0.0,0.0,0.0
554,talladega nights the ballad of ricky bobby,0.0,0.0,0.0,0.0
555,dr dolittle 2,0.0,0.0,0.0,0.0
556,braveheart,1.0,4.0,5.0,10.0
557,jarhead,0.0,0.0,0.0,0.0
558,the simpsons movie,0.0,1.0,0.0,0.0
559,the majestic,0.0,0.0,0.0,0.0
560,driven,0.0,0.0,0.0,0.0
561,two brothers,0.0,0.0,0.0,0.0
562,the village,0.0,0.0,0.0,1.0
563,doctor dolittle,0.0,0.0,0.0,0.0
564,signs,0.0,0.0,0.0,0.0
565,shrek 2,0.0,1.0,0.0,2.0
566,cars,1.0,1.0,0.0,2.0
567,runaway bride,0.0,0.0,0.0,0.0
568,xxx,0.0,0.0,0.0,0.0
569,the spongebob movie sponge out of water,0.0,0.0,0.0,0.0
570,ransom,0.0,1.0,0.0,0.0
571,inglourious basterds,1.0,4.0,1.0,8.0
572,hook,0.0,1.0,0.0,5.0
573,die hard 2,0.0,0.0,0.0,0.0
574,swat,0.0,0.0,0.0,0.0
575,vanilla sky,0.0,2.0,0.0,1.0
576,lady in the water,0.0,0.0,0.0,0.0
577,avp alien vs predator,0.0,0.0,0.0,0.0
578,alvin and the chipmunks the squeakquel,0.0,0.0,0.0,0.0
579,we were soldiers,0.0,0.0,0.0,0.0
580,olympus has fallen,0.0,0.0,0.0,0.0
581,star trek insurrection,0.0,0.0,0.0,0.0
582,battle los angeles,0.0,0.0,0.0,0.0
583,big fish,0.0,4.0,0.0,1.0
584,wolf,0.0,0.0,0.0,0.0
585,war horse,0.0,2.0,0.0,6.0
586,the monuments men,0.0,0.0,0.0,0.0
587,the abyss,0.0,0.0,1.0,4.0
588,wall street money never sleeps,0.0,1.0,0.0,0.0
589,dracula untold,0.0,0.0,0.0,0.0
590,the siege,0.0,0.0,0.0,0.0
591,stardust,0.0,0.0,0.0,0.0
592,seven years in tibet,0.0,1.0,0.0,0.0
593,the dilemma,0.0,0.0,0.0,0.0
594,bad company,0.0,0.0,0.0,0.0
595,doom,0.0,0.0,0.0,0.0
596,i spy,0.0,0.0,0.0,0.0
597,underworld awakening,0.0,0.0,0.0,0.0
598,rock of ages,0.0,0.0,0.0,0.0
599,harts war,0.0,0.0,0.0,0.0
600,killer elite,0.0,0.0,0.0,0.0
601,rollerball,0.0,0.0,0.0,0.0
602,ballistic ecks vs sever,0.0,0.0,0.0,0.0
603,hard rain,0.0,0.0,0.0,0.0
604,osmosis jones,0.0,0.0,0.0,0.0
605,legends of oz dorothys return,0.0,0.0,0.0,0.0
606,blackhat,0.0,0.0,0.0,0.0
607,sky captain and the world of tomorrow,0.0,0.0,0.0,0.0
608,basic instinct 2,0.0,0.0,0.0,0.0
609,escape plan,0.0,0.0,0.0,0.0
610,the legend of hercules,0.0,0.0,0.0,0.0
611,the sum of all fears,0.0,0.0,0.0,0.0
612,the twilight saga eclipse,0.0,0.0,0.0,0.0
613,the score,0.0,0.0,0.0,0.0
614,despicable me,0.0,1.0,0.0,0.0
615,money train,0.0,0.0,0.0,0.0
616,ted 2,0.0,0.0,0.0,0.0
617,agora,0.0,0.0,0.0,0.0
618,mystery men,0.0,0.0,0.0,0.0
619,hall pass,0.0,0.0,0.0,0.0
620,the insider,0.0,5.0,0.0,7.0
621,the finest hours,0.0,0.0,0.0,0.0
622,body of lies,0.0,0.0,0.0,0.0
623,dinner for schmucks,0.0,0.0,0.0,0.0
624,abraham lincoln vampire hunter,0.0,0.0,0.0,0.0
625,entrapment,0.0,0.0,0.0,0.0
626,the x files,0.0,0.0,0.0,0.0
627,the last legion,0.0,0.0,0.0,0.0
628,saving private ryan,2.0,5.0,5.0,11.0
629,need for speed,0.0,0.0,0.0,0.0
630,what women want,0.0,1.0,0.0,0.0
631,ice age,0.0,0.0,0.0,1.0
632,dreamcatcher,0.0,0.0,0.0,0.0
633,lincoln,1.0,7.0,2.0,12.0
634,the matrix,0.0,0.0,4.0,4.0
635,apollo 13,0.0,4.0,2.0,9.0
636,the santa clause 2,0.0,0.0,0.0,0.0
637,les misérables,3.0,4.0,1.0,3.0
638,youve got mail,0.0,1.0,0.0,0.0
639,step brothers,0.0,0.0,0.0,0.0
640,the mask of zorro,0.0,2.0,0.0,2.0
641,due date,0.0,0.0,0.0,0.0
642,unbroken,0.0,0.0,0.0,3.0
643,space cowboys,0.0,0.0,0.0,1.0
644,cliffhanger,0.0,0.0,0.0,3.0
645,broken arrow,0.0,0.0,0.0,0.0
646,the kid,0.0,0.0,0.0,0.0
647,world trade center,0.0,0.0,0.0,0.0
648,mona lisa smile,0.0,1.0,0.0,0.0
649,the dictator,0.0,0.0,0.0,0.0
650,eyes wide shut,0.0,1.0,0.0,0.0
651,annie,0.0,2.0,0.0,0.0
652,focus,0.0,0.0,0.0,0.0
653,this means war,0.0,0.0,0.0,0.0
654,blade trinity,0.0,0.0,0.0,0.0
655,red dawn,0.0,0.0,0.0,0.0
656,primary colors,0.0,2.0,0.0,2.0
657,resident evil retribution,0.0,0.0,0.0,0.0
658,death race,0.0,0.0,0.0,0.0
659,the long kiss goodnight,0.0,0.0,0.0,0.0
660,proof of life,0.0,0.0,0.0,0.0
661,zathura a space adventure,0.0,0.0,0.0,0.0
662,fight club,0.0,0.0,0.0,1.0
663,we are marshall,0.0,0.0,0.0,0.0
664,hudson hawk,0.0,0.0,0.0,0.0
665,lucky numbers,0.0,0.0,0.0,0.0
666,i frankenstein,0.0,0.0,0.0,0.0
667,oliver twist,0.0,0.0,0.0,0.0
668,elektra,0.0,0.0,0.0,0.0
669,sin city a dame to kill for,0.0,0.0,0.0,0.0
670,random hearts,0.0,0.0,0.0,0.0
671,everest,0.0,0.0,0.0,0.0
672,perfume the story of a murderer,0.0,0.0,0.0,0.0
673,austin powers in goldmember,0.0,0.0,0.0,0.0
674,astro boy,0.0,0.0,0.0,0.0
675,jurassic park,0.0,0.0,3.0,3.0
676,wyatt earp,0.0,0.0,0.0,1.0
677,clear and present danger,0.0,0.0,0.0,2.0
678,dragon blade,0.0,0.0,0.0,0.0
679,little man,0.0,0.0,0.0,0.0
680,u571,0.0,0.0,1.0,2.0
681,the american president,0.0,5.0,0.0,1.0
682,the love guru,0.0,0.0,0.0,0.0
683,3000 miles to graceland,0.0,0.0,0.0,0.0
684,the hateful eight,1.0,3.0,1.0,3.0
685,blades of glory,0.0,0.0,0.0,0.0
686,hop,0.0,0.0,0.0,0.0
687,300,0.0,0.0,0.0,0.0
688,meet the fockers,0.0,0.0,0.0,0.0
689,marley  me,0.0,0.0,0.0,0.0
690,the green mile,0.0,1.0,0.0,4.0
691,wild hogs,0.0,0.0,0.0,0.0
692,chicken little,0.0,0.0,0.0,0.0
693,gone girl,0.0,4.0,0.0,1.0
694,the bourne identity,0.0,0.0,0.0,0.0
695,goldeneye,0.0,0.0,0.0,0.0
696,the generals daughter,0.0,0.0,0.0,0.0
697,the truman show,3.0,6.0,0.0,3.0
698,the prince of egypt,0.0,2.0,1.0,2.0
699,daddy day care,0.0,0.0,0.0,0.0
700,2 guns,0.0,0.0,0.0,0.0
701,cats  dogs,0.0,0.0,0.0,0.0
702,the italian job,0.0,0.0,0.0,0.0
703,two weeks notice,0.0,0.0,0.0,0.0
704,antz,0.0,0.0,0.0,0.0
705,couples retreat,0.0,0.0,0.0,0.0
706,days of thunder,0.0,0.0,0.0,1.0
707,cheaper by the dozen 2,0.0,0.0,0.0,0.0
708,maze runner the scorch trials,0.0,0.0,0.0,0.0
709,eat pray love,0.0,0.0,0.0,0.0
710,the family man,0.0,0.0,0.0,0.0
711,red,0.0,1.0,0.0,0.0
712,any given sunday,0.0,0.0,0.0,0.0
713,the horse whisperer,0.0,2.0,0.0,1.0
714,collateral,0.0,1.0,0.0,2.0
715,the scorpion king,0.0,0.0,0.0,0.0
716,ladder 49,0.0,0.0,0.0,0.0
717,jack reacher,0.0,0.0,0.0,0.0
718,deep blue sea,0.0,0.0,0.0,0.0
719,this is it,0.0,0.0,0.0,0.0
720,contagion,0.0,0.0,0.0,0.0
721,kangaroo jack,0.0,0.0,0.0,0.0
722,coraline,0.0,1.0,0.0,1.0
723,the happening,0.0,0.0,0.0,0.0
724,man on fire,0.0,0.0,0.0,0.0
725,the shaggy dog,0.0,0.0,0.0,0.0
726,starsky  hutch,0.0,0.0,0.0,0.0
727,jingle all the way,0.0,0.0,0.0,0.0
728,hellboy,0.0,0.0,0.0,0.0
729,a civil action,0.0,1.0,0.0,2.0
730,paranorman,0.0,0.0,0.0,1.0
731,the jackal,0.0,0.0,0.0,0.0
732,paycheck,0.0,0.0,0.0,0.0
733,up close  personal,0.0,1.0,0.0,0.0
734,the tale of despereaux,0.0,0.0,0.0,0.0
735,the tuxedo,0.0,0.0,0.0,0.0
736,under siege 2 dark territory,0.0,0.0,0.0,0.0
737,jack ryan shadow recruit,0.0,0.0,0.0,0.0
738,joy,1.0,2.0,0.0,1.0
739,london has fallen,0.0,0.0,0.0,0.0
740,alien resurrection,0.0,0.0,0.0,0.0
741,shooter,0.0,0.0,0.0,0.0
742,the boxtrolls,0.0,1.0,0.0,1.0
743,practical magic,0.0,0.0,0.0,0.0
744,the lego movie,0.0,1.0,0.0,1.0
745,miss congeniality 2 armed and fabulous,0.0,0.0,0.0,0.0
746,reign of fire,0.0,0.0,0.0,0.0
747,gangster squad,0.0,0.0,0.0,0.0
748,year one,0.0,0.0,0.0,0.0
749,invictus,0.0,3.0,0.0,2.0
750,state of play,0.0,0.0,0.0,0.0
751,duplicity,0.0,1.0,0.0,0.0
752,my favorite martian,0.0,0.0,0.0,0.0
753,the sentinel,0.0,0.0,0.0,0.0
754,planet 51,0.0,0.0,0.0,0.0
755,star trek nemesis,0.0,0.0,0.0,0.0
756,intolerable cruelty,0.0,0.0,0.0,0.0
757,trouble with the curve,0.0,0.0,0.0,0.0
758,edge of darkness,0.0,0.0,0.0,0.0
759,the relic,0.0,0.0,0.0,0.0
760,analyze that,0.0,0.0,0.0,0.0
761,righteous kill,0.0,0.0,0.0,0.0
762,mercury rising,0.0,0.0,0.0,0.0
763,the soloist,0.0,0.0,0.0,0.0
764,the legend of bagger vance,0.0,0.0,0.0,0.0
765,almost famous,2.0,4.0,1.0,4.0
766,garfield a tail of two kitties,0.0,0.0,0.0,0.0
767,xxx state of the union,0.0,0.0,0.0,0.0
768,priest,0.0,0.0,0.0,0.0
769,sinbad legend of the seven seas,0.0,0.0,0.0,0.0
770,event horizon,0.0,0.0,0.0,0.0
771,dragonfly,0.0,0.0,0.0,0.0
772,the black dahlia,0.0,0.0,0.0,1.0
773,flyboys,0.0,0.0,0.0,0.0
774,the last castle,0.0,0.0,0.0,0.0
775,supernova,0.0,0.0,0.0,0.0
776,winters tale,0.0,0.0,0.0,0.0
777,the mortal instruments city of bones,0.0,0.0,0.0,0.0
778,meet dave,0.0,0.0,0.0,0.0
779,dark water,0.0,0.0,0.0,0.0
780,edtv,0.0,0.0,0.0,0.0
781,inkheart,0.0,0.0,0.0,0.0
782,the spirit,0.0,0.0,0.0,0.0
783,mortdecai,0.0,0.0,0.0,0.0
784,in the name of the king a dungeon siege tale,0.0,0.0,0.0,0.0
785,beyond borders,0.0,0.0,0.0,0.0
786,the monkey king 2,0.0,0.0,0.0,0.0
787,the great raid,0.0,0.0,0.0,0.0
788,deadpool,0.0,2.0,0.0,0.0
789,holy man,0.0,0.0,0.0,0.0
790,american sniper,0.0,0.0,1.0,6.0
791,goosebumps,0.0,0.0,0.0,0.0
792,just like heaven,0.0,0.0,0.0,0.0
793,the flintstones in viva rock vegas,0.0,0.0,0.0,0.0
794,rambo iii,0.0,0.0,0.0,0.0
795,leatherheads,0.0,0.0,0.0,0.0
796,the ridiculous 6,0.0,0.0,0.0,0.0
797,did you hear about the morgans,0.0,0.0,0.0,0.0
798,the internship,0.0,0.0,0.0,0.0
799,resident evil afterlife,0.0,0.0,0.0,0.0
800,red tails,0.0,0.0,0.0,0.0
801,the devils advocate,0.0,0.0,0.0,0.0
802,thats my boy,0.0,0.0,0.0,0.0
803,dragonheart,0.0,0.0,0.0,1.0
804,after the sunset,0.0,0.0,0.0,0.0
805,ghost rider spirit of vengeance,0.0,0.0,0.0,0.0
806,captain corellis mandolin,0.0,0.0,0.0,0.0
807,the pacifier,0.0,0.0,0.0,0.0
808,walking tall,0.0,0.0,0.0,0.0
809,forrest gump,3.0,7.0,6.0,13.0
810,alvin and the chipmunks,0.0,0.0,0.0,0.0
811,meet the parents,0.0,1.0,0.0,1.0
812,pocahontas,1.0,2.0,2.0,2.0
813,superman,0.0,1.0,0.0,3.0
814,the nutty professor,0.0,1.0,1.0,1.0
815,hitch,0.0,0.0,0.0,0.0
816,george of the jungle,0.0,0.0,0.0,0.0
817,american wedding,0.0,0.0,0.0,0.0
818,captain phillips,0.0,4.0,0.0,6.0
819,date night,0.0,0.0,0.0,0.0
820,casper,0.0,0.0,0.0,0.0
821,the equalizer,0.0,0.0,0.0,0.0
822,maid in manhattan,0.0,0.0,0.0,0.0
823,crimson tide,0.0,0.0,0.0,3.0
824,the pursuit of happyness,0.0,2.0,0.0,1.0
825,flightplan,0.0,0.0,0.0,0.0
826,disclosure,0.0,0.0,0.0,0.0
827,city of angels,0.0,1.0,0.0,0.0
828,kill bill vol 1,0.0,1.0,0.0,0.0
829,bowfinger,0.0,0.0,0.0,0.0
830,kill bill vol 2,0.0,2.0,0.0,0.0
831,tango  cash,0.0,0.0,0.0,0.0
832,death becomes her,0.0,1.0,1.0,1.0
833,shanghai noon,0.0,0.0,0.0,0.0
834,executive decision,0.0,0.0,0.0,0.0
835,mr poppers penguins,0.0,0.0,0.0,0.0
836,the forbidden kingdom,0.0,0.0,0.0,0.0
837,free birds,0.0,0.0,0.0,0.0
838,alien³,0.0,0.0,0.0,0.0
839,evita,3.0,5.0,1.0,5.0
840,ronin,0.0,0.0,0.0,0.0
841,the ghost and the darkness,0.0,0.0,1.0,1.0
842,paddington,0.0,0.0,0.0,0.0
843,the watch,0.0,0.0,0.0,0.0
844,the hunted,0.0,0.0,0.0,0.0
845,instinct,0.0,0.0,0.0,0.0
846,stuck on you,0.0,0.0,0.0,0.0
847,semipro,0.0,0.0,0.0,0.0
848,the pirates in an adventure with scientists,0.0,0.0,0.0,0.0
849,changeling,0.0,2.0,0.0,3.0
850,chain reaction,0.0,0.0,0.0,0.0
851,the fan,0.0,0.0,0.0,0.0
852,the phantom of the opera,0.0,3.0,0.0,3.0
853,elizabeth the golden age,0.0,0.0,1.0,2.0
854,æon flux,0.0,0.0,0.0,0.0
855,gods and generals,0.0,0.0,0.0,0.0
856,turbulence,0.0,0.0,0.0,0.0
857,imagine that,0.0,0.0,0.0,0.0
858,muppets most wanted,0.0,0.0,0.0,0.0
859,thunderbirds,0.0,0.0,0.0,0.0
860,burlesque,1.0,3.0,0.0,0.0
861,a very long engagement,0.0,1.0,0.0,2.0
862,lolita,0.0,5.0,0.0,1.0
863,dtox,0.0,0.0,0.0,0.0
864,blade ii,0.0,0.0,0.0,0.0
865,seven pounds,0.0,0.0,0.0,0.0
866,bullet to the head,0.0,0.0,0.0,0.0
867,the godfather part iii,0.0,7.0,0.0,7.0
868,elizabethtown,0.0,0.0,0.0,0.0
869,you me and dupree,0.0,0.0,0.0,0.0
870,superman ii,0.0,0.0,0.0,0.0
871,gigli,0.0,0.0,0.0,0.0
872,all the kings men,0.0,0.0,0.0,0.0
873,shaft,0.0,0.0,0.0,0.0
874,anastasia,0.0,2.0,0.0,2.0
875,moulin rouge,3.0,6.0,2.0,8.0
876,domestic disturbance,0.0,0.0,0.0,0.0
877,black mass,0.0,0.0,0.0,0.0
878,flags of our fathers,0.0,1.0,0.0,2.0
879,law abiding citizen,0.0,0.0,0.0,0.0
880,grindhouse,0.0,0.0,0.0,0.0
881,beloved,0.0,0.0,0.0,1.0
882,lucky you,0.0,0.0,0.0,0.0
883,catch me if you can,0.0,1.0,0.0,2.0
884,zero dark thirty,1.0,4.0,0.0,5.0
885,the breakup,0.0,0.0,0.0,0.0
886,mamma mia,0.0,2.0,0.0,0.0
887,valentines day,0.0,0.0,0.0,0.0
888,the dukes of hazzard,0.0,0.0,0.0,0.0
889,the thin red line,0.0,0.0,0.0,7.0
890,the changeup,0.0,0.0,0.0,0.0
891,man on the moon,1.0,2.0,0.0,0.0
892,casino,1.0,2.0,0.0,1.0
893,from paris with love,0.0,0.0,0.0,0.0
894,bulletproof monk,0.0,0.0,0.0,0.0
895,me myself  irene,0.0,0.0,0.0,0.0
896,barnyard,0.0,0.0,0.0,0.0
897,deck the halls,0.0,0.0,0.0,0.0
898,the twilight saga new moon,0.0,0.0,0.0,0.0
899,shrek,0.0,1.0,1.0,2.0
900,the adjustment bureau,0.0,0.0,0.0,0.0
901,robin hood prince of thieves,0.0,2.0,0.0,1.0
902,jerry maguire,1.0,3.0,1.0,5.0
903,ted,0.0,0.0,0.0,1.0
904,as good as it gets,3.0,6.0,2.0,7.0
905,patch adams,0.0,2.0,0.0,1.0
906,anchorman 2 the legend continues,0.0,0.0,0.0,0.0
907,mr deeds,0.0,0.0,0.0,0.0
908,super 8,0.0,0.0,0.0,0.0
909,erin brockovich,1.0,4.0,1.0,5.0
910,how to lose a guy in 10 days,0.0,0.0,0.0,0.0
911,22 jump street,0.0,0.0,0.0,0.0
912,interview with the vampire,0.0,0.0,0.0,2.0
913,yes man,0.0,0.0,0.0,0.0
914,central intelligence,0.0,0.0,0.0,0.0
915,stepmom,0.0,1.0,0.0,0.0
916,daddys home,0.0,0.0,0.0,0.0
917,into the woods,0.0,3.0,0.0,3.0
918,inside man,0.0,0.0,0.0,0.0
919,payback,0.0,0.0,0.0,0.0
920,congo,0.0,0.0,0.0,0.0
921,we bought a zoo,0.0,0.0,0.0,0.0
922,knowing,0.0,0.0,0.0,0.0
923,failure to launch,0.0,0.0,0.0,0.0
924,the ring two,0.0,0.0,0.0,0.0
925,crazy stupid love,0.0,1.0,0.0,0.0
926,garfield,0.0,0.0,0.0,0.0
927,christmas with the kranks,0.0,0.0,0.0,0.0
928,moneyball,0.0,4.0,0.0,6.0
929,outbreak,0.0,0.0,0.0,0.0
930,nonstop,0.0,0.0,0.0,0.0
931,race to witch mountain,0.0,0.0,0.0,0.0
932,v for vendetta,0.0,0.0,0.0,0.0
933,shanghai knights,0.0,0.0,0.0,0.0
934,curious george,0.0,0.0,0.0,0.0
935,herbie fully loaded,0.0,0.0,0.0,0.0
936,dont say a word,0.0,0.0,0.0,0.0
937,hansel  gretel witch hunters,0.0,0.0,0.0,0.0
938,unfaithful,0.0,1.0,0.0,1.0
939,i am number four,0.0,0.0,0.0,0.0
940,syriana,1.0,2.0,1.0,2.0
941,13 hours the secret soldiers of benghazi,0.0,0.0,0.0,1.0
942,the book of life,0.0,1.0,0.0,0.0
943,firewall,0.0,0.0,0.0,0.0
944,absolute power,0.0,0.0,0.0,0.0
945,gi jane,0.0,0.0,0.0,0.0
946,the game,0.0,0.0,0.0,0.0
947,silent hill,0.0,0.0,0.0,0.0
948,the replacements,0.0,0.0,0.0,0.0
949,american reunion,0.0,0.0,0.0,0.0
950,the negotiator,0.0,0.0,0.0,0.0
951,into the storm,0.0,0.0,0.0,0.0
952,beverly hills cop iii,0.0,0.0,0.0,0.0
953,gremlins 2 the new batch,0.0,0.0,0.0,0.0
954,the judge,0.0,1.0,0.0,1.0
955,the peacemaker,0.0,0.0,0.0,0.0
956,resident evil apocalypse,0.0,0.0,0.0,0.0
957,bridget jones the edge of reason,0.0,1.0,0.0,0.0
958,out of time,0.0,0.0,0.0,0.0
959,on deadly ground,0.0,0.0,0.0,0.0
960,the adventures of sharkboy and lavagirl,0.0,0.0,0.0,0.0
961,the beach,0.0,0.0,0.0,0.0
962,raising helen,0.0,0.0,0.0,0.0
963,ninja assassin,0.0,0.0,0.0,0.0
964,for love of the game,0.0,0.0,0.0,0.0
965,striptease,0.0,0.0,0.0,0.0
966,marmaduke,0.0,0.0,0.0,0.0
967,hereafter,0.0,0.0,0.0,1.0
968,murder by numbers,0.0,0.0,0.0,0.0
969,assassins,0.0,0.0,0.0,0.0
970,hannibal rising,0.0,0.0,0.0,0.0
971,the story of us,0.0,0.0,0.0,0.0
972,the host,0.0,0.0,0.0,0.0
973,basic,0.0,0.0,0.0,0.0
974,blood work,0.0,0.0,0.0,0.0
975,the international,0.0,0.0,0.0,0.0
976,escape from la,0.0,0.0,0.0,0.0
977,the iron giant,0.0,0.0,0.0,0.0
978,the life aquatic with steve zissou,0.0,0.0,0.0,0.0
979,free state of jones,0.0,0.0,0.0,0.0
980,the life of david gale,0.0,0.0,0.0,0.0
981,man of the house,0.0,0.0,0.0,0.0
982,run all night,0.0,0.0,0.0,0.0
983,eastern promises,0.0,3.0,0.0,1.0
984,into the blue,0.0,0.0,0.0,0.0
985,the messenger the story of joan of arc,0.0,0.0,0.0,0.0
986,your highness,0.0,0.0,0.0,0.0
987,dream house,0.0,0.0,0.0,0.0
988,mad city,0.0,0.0,0.0,0.0
989,babys day out,0.0,0.0,0.0,0.0
990,the scarlet letter,0.0,0.0,0.0,0.0
991,fair game,0.0,0.0,0.0,0.0
992,domino,0.0,0.0,0.0,0.0
993,jade,0.0,0.0,0.0,0.0
994,gamer,0.0,0.0,0.0,0.0
995,beautiful creatures,0.0,0.0,0.0,0.0
996,death to smoochy,0.0,0.0,0.0,0.0
997,zoolander 2,0.0,0.0,0.0,0.0
998,the big bounce,0.0,0.0,0.0,0.0
999,what planet are you from,0.0,0.0,0.0,0.0
1000,drive angry,0.0,0.0,0.0,0.0
1001,street fighter the legend of chunli,0.0,0.0,0.0,0.0
1002,the one,0.0,0.0,0.0,0.0
1003,the adventures of ford fairlane,0.0,0.0,0.0,0.0
1004,the boat that rocked,0.0,0.0,0.0,0.0
1005,traffic,2.0,5.0,4.0,5.0
1006,indiana jones and the last crusade,0.0,1.0,1.0,3.0
1007,anna karenina,0.0,1.0,1.0,4.0
1008,chappie,0.0,0.0,0.0,0.0
1009,the bone collector,0.0,0.0,0.0,0.0
1010,panic room,0.0,0.0,0.0,0.0
1011,the tooth fairy,0.0,0.0,0.0,0.0
1012,three kings,0.0,0.0,0.0,0.0
1013,child 44,0.0,0.0,0.0,0.0
1014,rat race,0.0,0.0,0.0,0.0
1015,kpax,0.0,0.0,0.0,0.0
1016,kate  leopold,1.0,2.0,0.0,1.0
1017,bedazzled,0.0,0.0,0.0,0.0
1018,the cotton club,0.0,2.0,0.0,2.0
1019,310 to yuma,0.0,0.0,0.0,2.0
1020,taken 3,0.0,0.0,0.0,0.0
1021,out of sight,0.0,0.0,0.0,2.0
1022,the cable guy,0.0,0.0,0.0,0.0
1023,earth,0.0,0.0,0.0,0.0
1024,dick tracy,0.0,4.0,3.0,7.0
1025,the thomas crown affair,0.0,0.0,0.0,0.0
1026,riding in cars with boys,0.0,0.0,0.0,0.0
1027,first blood,0.0,0.0,0.0,0.0
1028,solaris,0.0,0.0,0.0,0.0
1029,happily never after,0.0,0.0,0.0,0.0
1030,mary reilly,0.0,0.0,0.0,0.0
1031,my best friends wedding,0.0,3.0,0.0,1.0
1032,americas sweethearts,0.0,0.0,0.0,0.0
1033,insomnia,0.0,0.0,0.0,0.0
1034,star trek first contact,0.0,0.0,0.0,1.0
1035,jonah hex,0.0,0.0,0.0,0.0
1036,courage under fire,0.0,0.0,0.0,0.0
1037,liar liar,0.0,1.0,0.0,0.0
1038,the infiltrator,0.0,0.0,0.0,0.0
1039,inchon,0.0,0.0,0.0,0.0
1040,the flintstones,0.0,0.0,0.0,0.0
1041,taken 2,0.0,0.0,0.0,0.0
1042,scary movie 3,0.0,0.0,0.0,0.0
1043,miss congeniality,0.0,2.0,0.0,0.0
1044,journey to the center of the earth,0.0,0.0,0.0,0.0
1045,the princess diaries 2 royal engagement,0.0,0.0,0.0,0.0
1046,the pelican brief,0.0,0.0,0.0,0.0
1047,the client,0.0,0.0,0.0,1.0
1048,the bucket list,0.0,0.0,0.0,0.0
1049,patriot games,0.0,0.0,0.0,0.0
1050,monsterinlaw,0.0,0.0,0.0,0.0
1051,prisoners,0.0,0.0,0.0,1.0
1052,training day,0.0,1.0,1.0,2.0
1053,galaxy quest,0.0,0.0,0.0,0.0
1054,scary movie 2,0.0,0.0,0.0,0.0
1055,the muppets,0.0,0.0,1.0,1.0
1056,blade,0.0,0.0,0.0,0.0
1057,coach carter,0.0,0.0,0.0,0.0
1058,changing lanes,0.0,0.0,0.0,0.0
1059,anaconda,0.0,0.0,0.0,0.0
1060,coyote ugly,0.0,0.0,0.0,0.0
1061,love actually,0.0,2.0,0.0,0.0
1062,a bugs life,0.0,1.0,0.0,1.0
1063,from hell,0.0,0.0,0.0,0.0
1064,the specialist,0.0,0.0,0.0,0.0
1065,tin cup,0.0,1.0,0.0,0.0
1066,yours mine and ours,0.0,2.0,0.0,0.0
1067,kicking  screaming,0.0,0.0,0.0,0.0
1068,the hitchhikers guide to the galaxy,0.0,0.0,0.0,0.0
1069,fat albert,0.0,0.0,0.0,0.0
1070,resident evil extinction,0.0,0.0,0.0,0.0
1071,blended,0.0,0.0,0.0,0.0
1072,last holiday,0.0,0.0,0.0,0.0
1073,the river wild,0.0,2.0,0.0,0.0
1074,the indian in the cupboard,0.0,0.0,0.0,0.0
1075,savages,0.0,0.0,0.0,0.0
1076,cellular,0.0,0.0,0.0,0.0
1077,johnny english,0.0,0.0,0.0,0.0
1078,the ant bully,0.0,0.0,0.0,0.0
1079,dune,0.0,0.0,0.0,1.0
1080,across the universe,0.0,1.0,0.0,1.0
1081,revolutionary road,1.0,4.0,0.0,3.0
1082,16 blocks,0.0,0.0,0.0,0.0
1083,babylon ad,0.0,0.0,0.0,0.0
1084,the glimmer man,0.0,0.0,0.0,0.0
1085,multiplicity,0.0,0.0,0.0,0.0
1086,aliens in the attic,0.0,0.0,0.0,0.0
1087,the pledge,0.0,0.0,0.0,0.0
1088,the producers,0.0,4.0,0.0,0.0
1089,the phantom,0.0,0.0,0.0,0.0
1090,all the pretty horses,0.0,1.0,0.0,0.0
1091,nixon,0.0,1.0,0.0,4.0
1092,the ghost writer,0.0,0.0,0.0,0.0
1093,deep rising,0.0,0.0,0.0,0.0
1094,miracle at st anna,0.0,0.0,0.0,0.0
1095,curse of the golden flower,0.0,0.0,0.0,1.0
1096,bangkok dangerous,0.0,0.0,0.0,0.0
1097,big trouble,0.0,0.0,0.0,0.0
1098,love in the time of cholera,0.0,1.0,0.0,0.0
1099,shadow conspiracy,0.0,0.0,0.0,0.0
1100,johnny english reborn,0.0,0.0,0.0,0.0
1101,foodfight,0.0,0.0,0.0,0.0
1102,argo,2.0,5.0,3.0,7.0
1103,the fugitive,1.0,3.0,1.0,7.0
1104,the bounty hunter,0.0,0.0,0.0,0.0
1105,sleepers,0.0,0.0,0.0,1.0
1106,rambo first blood part ii,0.0,0.0,0.0,1.0
1107,the juror,0.0,0.0,0.0,0.0
1108,pinocchio,0.0,0.0,2.0,2.0
1109,heavens gate,0.0,0.0,0.0,0.0
1110,underworld evolution,0.0,0.0,0.0,0.0
1111,victor frankenstein,0.0,0.0,0.0,0.0
1112,finding forrester,0.0,0.0,0.0,0.0
1113,28 days,0.0,0.0,0.0,0.0
1114,unleashed,0.0,0.0,0.0,0.0
1115,the sweetest thing,0.0,0.0,0.0,0.0
1116,the firm,0.0,0.0,0.0,2.0
1117,charlie st cloud,0.0,0.0,0.0,0.0
1118,the mechanic,0.0,0.0,0.0,0.0
1119,21 jump street,0.0,0.0,0.0,0.0
1120,notting hill,0.0,3.0,0.0,0.0
1121,chicken run,0.0,1.0,0.0,0.0
