,Films,Year,Oscars,Nominations
174,Action in the North Atlantic,1944,0,1
175,Adam,1993,0,1
176,Adam Clayton Powell,1990,0,1
177,Adam and Dog,2013,0,1
178,Adam's Rib,1951,0,1
179,Adaptation,2003,1,4
180,Addams Family Values,1994,0,1
181,Address Unknown,1945,0,2
182,Adolescence,1967,0,1
183,Adventure in the Bronx,1942,0,1
184,Adventures in Perception,1972,0,1
185,Adventures of Robinson Crusoe,1955,0,1
186,Affair in Trinidad,1953,0,1
187,Affliction,1999,1,2
188,"Africa, Prelude to Victory",1943,0,1
189,After the Axe,1983,0,1
190,After the Thin Man,1937,0,1
191,After the Wedding,2007,0,1
192,Afterglow,1998,0,1
193,Against All Odds,1985,0,1
194,Against Wind and Tide: A Cuban Odyssey,1982,0,1
195,Agatha,1980,0,1
196,Agee,1981,0,1
197,Agnes of God,1986,0,3
198,"Agueda Martinez: Our People, Our Country",1978,0,1
199,Air Force,1944,1,4
200,Air Force One,1998,0,2
201,Airport,1971,1,10
202,Airport '77,1978,0,2
203,Ajami,2010,0,1
204,Aladdin,1993,2,5
205,Alaska Wilderness Lake,1972,0,1
206,Alaska: Spirit of the Wild,1998,0,1
207,Albert Nobbs,2012,0,3
208,Albert Schweitzer,1958,1,1
209,Alexander's Ragtime Band,1939,1,6
210,Alfie,1967,0,5
211,Algiers,1939,0,4
212,Ali,2002,0,2
213,Ali Baba Goes to Town,1938,0,1
214,Alibi,1930,0,3
215,Alice,1991,0,1
216,Alice Adams,1936,0,2
217,Alice Doesn't Live Here Anymore,1975,1,3
218,Alice in Wonderland,1952,0,1
219,Alice in Wonderland,2011,2,3
220,Alice's Restaurant,1970,0,1
221,Alien,1980,1,2
222,Alien 3,1993,0,1
223,Aliens,1987,2,7
224,Alive in the Deep,1942,0,1
225,All Is Lost,2014,0,1
226,All Nothing,1981,0,1
227,"All Out for ""V""",1943,0,1
228,All Quiet on the Western Front,1931,2,4
229,All That Jazz,1980,4,9
230,All That Money Can Buy,1942,1,2
231,All The Stars,2019,0,1
232,All Things Fair,1996,0,1
233,"All This, and Heaven Too",1941,0,3
234,All about Eve,1951,6,14
235,All about My Mother,2000,1,1
236,All the Brothers Were Valiant,1954,0,1
237,All the King's Horses,1936,0,1
238,All the King's Men,1950,3,7
239,All the Money in the World,2018,0,1
240,All the President's Men,1977,4,8
241,All-American Co-Ed,1942,0,2
242,Allied,2017,0,1
243,Almost Famous,2001,1,4
244,Aloma of the South Seas,1942,0,2
245,Along the Rainbow Trail,1946,0,1
246,Alsino and the Condor,1983,0,1
247,Altered States,1981,0,2
248,Alvorada (Brazil's Changing Face),1963,0,1
249,Always a New Beginning,1974,0,1
250,Always in My Heart,1943,0,1
251,Ama Girls,1959,1,1
252,Amadeus,1985,8,11
253,Amarcord,1975,1,1
254,Amarcord,1976,0,2
255,Amazon,1998,0,1
256,Amazon Diary,1990,0,1
257,America America,1964,1,4
258,American Beauty,2000,5,8
259,American Dream,1991,1,1
260,American Gangster,2008,0,2
261,American Graffiti,1974,0,5
262,American History X,1999,0,1
263,American Hustle,2014,0,10
264,American Shoeshine,1977,0,1
265,American Sniper,2015,1,6
266,American Splendor,2004,0,1
267,Americas in Transition,1982,0,1
268,Amistad,1998,0,4
269,Amores Perros,2001,0,1
270,Amour,2013,1,5
271,Amphibious Fighters,1944,1,1
272,Amy,2016,1,1
273,Amélie,2002,0,5
274,An Affair to Remember,1958,0,4
275,An American Dream,1967,0,1
276,An American Tail,1987,0,1
277,An American Werewolf in London,1982,1,1
278,An American in Paris,1952,6,8
279,An Education,2010,0,3
280,An Encounter with Faces,1979,0,1
281,An Essay on Matisse,1997,0,1
282,An Impression of John Steinbeck: Writer,1970,0,1
283,An Inconvenient Truth,2007,2,2
284,An Occurrence at Owl Creek Bridge,1964,1,1
285,An Officer and a Gentleman,1983,2,6
286,An Unmarried Woman,1979,0,3
287,Anastasia,1957,1,2
288,Anastasia,1998,0,2
289,Anatomy of a Murder,1960,0,7
290,Anchors Aweigh,1946,1,5
291,And Now My Love,1976,0,1
292,And to Think I Saw It on Mulberry Street,1945,0,1
293,Angel and Big Joe,1976,1,1
294,Angela's Ashes,2000,0,1
295,Angels and Insects,1997,0,1
296,Angels over Broadway,1941,0,1
297,Angels with Dirty Faces,1939,0,3
298,Angry Harvest,1986,0,1
299,Animal Behaviour,2019,0,1
300,Animal Kingdom,2011,0,1
301,Anna,1988,0,1
302,Anna & Bella,1986,1,1
303,Anna Christie,1931,0,3
304,Anna Karenina,2013,1,4
305,Anna and the King,2000,0,2
306,Anna and the King of Siam,1947,2,5
307,Anne Frank Remembered,1996,1,1
308,Anne of the Thousand Days,1970,1,10
309,Annie,1983,0,2
310,Annie Get Your Gun,1951,1,4
311,Annie Hall,1978,4,5
312,Annie Was a Wonder,1949,0,1
313,Anomalisa,2016,0,1
314,Anonymous,2012,0,1
315,Another Year,2011,0,1
316,Antarctic Crossing,1959,0,1
317,Anthony Adverse,1937,4,7
318,Antonia's Line,1996,1,1
319,Antonia: A Portrait of the Woman,1975,0,1
320,Ape and Super-Ape,1973,0,1
321,Apocalypse Now,1980,2,8
322,Apocalypto,2007,0,3
323,Apollo 13,1996,2,9
324,Appointment for Love,1942,0,1
325,April Love,1958,0,1
326,Aquamania,1962,0,1
327,Aquatic House-Party,1950,1,1
328,Aquel No Era Yo (That Wasn't Me),2014,0,1
329,Arabian Nights,1943,0,4
330,Argo,2013,3,7
331,"Arise, My Love",1941,1,4
332,Arizona,1941,0,2
333,Armageddon,1999,0,4
334,Arms and the Man,1959,0,1
335,Army Champions,1942,0,1
336,Army Girl,1939,0,3
337,Around the World in 80 Days,1957,5,8
338,Arrival,2017,1,8
339,Arrowsmith,1933,0,4
340,Art Is...,1972,0,1
341,Arthur,1982,2,4
342,Arthur Rubinstein - The Love of Life,1970,1,1
343,Arthur and Lillie,1976,0,1
344,Artie Shaw: Time Is All You've Got,1987,1,1
345,Artists and Models,1938,0,1
346,Artists and Orphans: A True Drama,2002,0,1
347,Arturo Toscanini,1945,0,1
348,As Good as It Gets,1998,2,7
349,As It Is in Heaven,2005,0,1
350,Asad,2013,0,1
351,Asylum,2004,0,1
352,At Eternity's Gate,2019,0,1
353,At Night,2008,0,1
354,At the Edge of Conquest: The Journey of Chief Wai-Wai,1993,0,1
355,Athletes of the Saddle,1953,0,1
356,Atlantic City,1982,0,5
357,Atomic Power,1947,0,1
358,Atonement,2008,1,7
359,"Au Revoir Les Enfants (Goodbye, Children)",1988,0,2
360,Audioscopiks,1936,0,1
361,Audition (The Fools Who Dream) ,2017,0,1
362,Auf der Strecke (On the Line),2009,0,1
363,August Rush,2008,0,1
364,August: Osage County,2014,0,2
365,Auntie Mame,1959,0,6
366,Ausreisser (The Runaway),2006,0,1
367,Austin Powers: The Spy Who Shagged Me,2000,0,1
368,Australia,2009,0,1
369,Autism Is a World,2005,0,1
370,Automania 2000,1964,0,1
371,Autumn Sonata,1979,0,2
372,Avalon,1991,0,4
373,Avant Que De Tout Perdre (Just before Losing Everything),2014,0,1
374,Avatar,2010,3,9
375,Ave Maria,2016,0,1
376,Avengers: Infinity War,2019,0,1
377,Awakenings,1991,0,3
378,Away from Her,2008,0,2
379,Aya,2015,0,1
380,Ayn Rand: A Sense of Life,1998,0,1
381,B. F.'s Daughter,1949,0,1
382,Babe,1996,1,7
383,Babe: Pig in the City,1999,0,1
384,Babel,2007,1,7
385,Babes in Arms,1940,0,2
386,Babes in Toyland,1962,0,2
