,Films,Year,Oscars,Nominations
783,Chopin's Musical Moments,1947,0,1
784,Christ among the Primitives,1954,0,1
785,Christmas Cracker,1965,0,1
786,Christmas Holiday,1945,0,1
787,Christmas under Fire,1942,0,1
788,Christo's Valley Curtain,1974,0,1
789,Christopher Crumpet,1954,0,1
790,Christopher Robin,2019,0,1
791,Churchill's Island,1942,1,1
792,Cimarron,1932,3,7
793,Cimarron,1961,0,2
794,Cinderella,1951,0,3
795,Cinderella,2016,0,1
796,Cinderella Horse,1949,0,1
797,Cinderella Liberty,1974,0,3
798,Cinderella Man,2006,0,3
799,Cinema Paradiso,1990,1,1
800,Citizen Kane,1942,1,9
801,CitizenFour,2015,1,1
802,City Out of Wilderness,1975,0,1
803,City Slickers,1992,1,1
804,City of God,2004,0,4
805,City of Gold,1958,0,1
806,City of Stars,2017,1,1
807,City of Wax,1935,1,1
808,Claude Lanzmann: Spectres of the Shoah,2016,0,1
809,Claudelle Inglish,1962,0,1
810,Claudine,1975,0,1
811,Clay or The Origin of Species,1966,0,1
812,Clear and Present Danger,1995,0,2
813,Cleopatra,1935,1,5
814,Cleopatra,1964,4,9
815,Click,2007,0,1
816,Cliffhanger,1994,0,3
817,Climb,1975,0,1
818,Climbing the Matterhorn,1948,1,1
819,Clockmaker,1974,0,1
820,Close Encounters of the Third Kind,1978,1,8
821,Close Harmony,1982,1,1
822,Close to Eden,1993,0,1
823,Closed Mondays,1975,1,1
824,Closely Watched Trains,1968,1,1
825,Closer,2005,0,2
826,Coal Miner's Daughter,1981,1,7
827,Coco,2018,1,1
828,Coco before Chanel,2010,0,1
829,Cocoon,1986,2,2
830,Code Gray: Ethical Dilemmas in Nursing,1985,0,1
831,Cold Mountain,2004,1,7
832,Cold War,2019,0,3
833,Collateral,2005,0,2
834,College Queen,1947,0,1
835,Colonel Redl,1986,0,1
836,Colors Straight Up,1998,0,1
837,Combat Report,1943,0,1
838,"Come Back, Little Sheba",1953,1,3
839,Come Blow Your Horn,1964,0,1
840,Come Fill the Cup,1952,0,1
841,Come and Get It,1937,1,2
842,Come to the Stable,1950,0,7
843,Comes a Horseman,1979,0,1
844,Coming Home,1979,3,8
845,Coming to America,1989,0,2
846,Commandos Strike at Dawn,1944,0,1
847,Common Threads: Stories from the Quilt,1990,1,1
848,Complaints of a Dutiful Daughter,1995,0,1
849,Comrade X,1941,0,1
850,Con Air,1998,0,2
851,Condemned,1931,0,1
852,Coney Island,1944,0,1
853,Confidence,1981,0,1
854,Conquer by the Clock,1943,0,1
855,Conquest,1938,0,2
856,Conquest of Light,1976,0,1
857,Contact,1993,0,1
858,Contact,1998,0,1
859,Cool Hand Luke,1968,1,4
860,Copy Shop,2002,0,1
861,Coquette,1930,1,1
862,Coraline,2010,0,1
863,Corvette K-225,1944,0,1
864,Cosmic Voyage,1997,0,1
865,Country,1985,0,1
866,Country Strong,2011,0,1
867,"Coup de Torchon (""Clean Slate"")",1983,0,1
868,Couples and Robbers,1982,0,1
869,Course Completed,1988,0,1
870,"Cousin, Cousine",1977,0,3
871,Cover Girl,1945,1,5
872,Cow Dog,1957,0,1
873,Cowboy,1959,0,1
874,Cowboy,1967,0,1
875,Crac,1982,1,1
876,Crack USA: County under Siege,1990,0,1
877,Cradle of Genius,1962,0,1
878,Crash,2006,3,6
879,Crash Dive,1944,1,1
880,Crashing the Water Barrier,1957,1,1
881,Crazy Heart,2010,2,3
882,Crazy Mixed Up Pup,1955,0,1
883,Crazylegs,1954,0,1
884,Creature Comforts,1991,1,1
885,Creed,2016,0,1
886,Cries and Whispers,1974,1,5
887,Crimes and Misdemeanors,1990,0,3
888,Crimes of the Heart,1987,0,3
889,Crimson Tide,1996,0,3
890,Crisis Hotline: Veterans Press 1,2015,1,1
891,Crocodile Dundee,1987,0,1
892,Cromwell,1971,1,2
893,Cross Creek,1984,0,4
894,Crossfire,1948,0,5
895,"Crouching Tiger, Hidden Dragon",2001,4,10
896,Cruise Control,1993,0,1
897,Cry Freedom,1988,0,3
898,Culture,1999,0,1
899,Curfew,2013,1,1
900,Curse of the Golden Flower,2007,0,1
901,Curtain Call,2001,0,1
902,Cutie and the Boxer,2014,0,1
903,Cyrano de Bergerac,1951,1,1
904,Cyrano de Bergerac,1991,1,5
905,Czechoslovakia 1968,1970,1,1
906,D-Day Remembered,1995,0,1
907,Dad,1990,0,1
908,Daddy Long Legs,1956,0,3
909,Dae,1980,0,1
910,Daens,1993,0,1
911,Daisy Miller,1975,0,1
912,Dallas Buyers Club,2014,3,6
913,Damage,1993,0,1
914,Damn Yankees,1959,0,1
915,Dance Lexie Dance,1998,0,1
916,Dancemaker,1999,0,1
917,Dancer in the Dark,2001,0,1
918,Dances With Wolves,1991,7,12
919,Dancing Pirate,1937,0,1
920,Danger under the Sea,1952,0,1
921,Dangerous,1936,1,1
922,Dangerous Liaisons,1989,3,7
923,Dangerous Moves,1985,1,1
924,Dark Eyes,1988,0,1
925,Dark Victory,1940,0,3
926,Darkest Hour,2018,2,6
927,Darling,1966,3,5
928,Darling Lili,1971,0,3
929,Darwin's Nightmare,2006,0,1
930,Das Boot,1983,0,6
931,Das Rad,2003,0,1
932,Daughter from Danang,2003,0,1
933,Daughter of the Bride,1998,0,1
934,Dave,1994,0,1
935,David Copperfield,1936,0,3
936,David and Bathsheba,1952,0,5
937,David and Lisa,1963,0,2
938,Dawn Flight,1976,0,1
939,Dawn of the Planet of the Apes,2015,0,1
940,Day & Night,2011,0,1
941,Day One,2016,0,1
942,Day for Night,1974,1,1
943,Day for Night,1975,0,3
944,Day of the Painter,1961,1,1
945,Daybreak in Udi,1950,1,1
946,Daylight,1997,0,1
947,Days of Glory,1945,0,1
948,Days of Glory (Indigènes),2007,0,1
949,Days of Heaven,1979,1,4
950,Days of Thunder,1991,0,1
951,Days of Waiting,1991,1,1
952,Days of Wine and Roses,1963,1,5
953,"De Tripas, Corazon",1997,0,1
954,DeKalb Elementary,2018,0,1
955,Dead End,1938,0,4
956,Dead Man Walking,1996,1,4
957,Dead Poets Society,1990,1,4
958,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1992,1,1
959,Dear Basketball,2018,1,1
960,Dear Diary,1997,1,1
961,Dear Heart,1965,0,1
962,Dear John,1966,0,1
963,Dear Rosie,1991,0,1
964,Death Becomes Her,1993,1,1
965,Death in Venice,1972,0,1
966,Death of a Salesman,1952,0,5
967,Death of a Shadow (Dood van een Schaduw),2013,0,1
968,Death on the Job,1992,0,1
969,Death on the Nile,1979,1,1
970,Debonair Dancers,1987,0,1
971,December 7th,1944,1,1
972,Decision before Dawn,1952,0,2
973,Declaration of Independence,1939,1,1
974,Deconstructing Harry,1998,0,1
975,Dedalo,1977,0,1
976,Deep South,1938,0,1
977,Deep Waters,1949,0,1
978,Deepwater Horizon,2017,0,2
979,Defending Our Lives,1994,1,1
980,Defiance,2009,0,1
981,Deliver Us from Evil,2007,0,1
982,Deliverance,1973,0,3
983,Demián Bichir,2012,0,1
984,Departures,2009,1,1
985,Der Fuehrer's Face,1943,1,1
986,Dersu Uzala,1976,1,1
987,Desert Killer,1953,0,1
988,Desert Victory,1944,1,1
989,Desert Wonderland,1943,0,1
990,Design for Death,1948,1,1
991,Designing Woman,1958,1,1
992,Desire under the Elms,1959,0,1
993,Desiree,1955,0,2
994,Desperate Journey,1943,0,1
995,Despicable Me 2,2014,0,2
996,Destination Moon,1951,1,2
997,Destination Tokyo,1944,0,1
998,Destino,2004,0,1
999,Detainment,2019,0,1
1000,Detective Story,1952,0,4
1001,Detouring America,1940,0,1
1002,Devil Take Us,1953,0,2
1003,Diamonds Are Forever,1972,0,1
1004,Diary of a Mad Housewife,1971,0,1
1005,Dick Tracy,1991,3,7
1006,Die Hard,1989,0,4
1007,Die Rote Jacke (The Red Jacket),2004,0,1
1008,Dillinger,1946,0,1
1009,Dimanche/Sunday,2012,0,1
1010,Diner,1983,0,1
1011,Dirty Dancing,1988,1,1
1012,Dirty Pretty Things,2004,0,1
1013,Dirty Wars,2014,0,1
1014,Disraeli,1931,1,3
1015,District 9,2010,0,4
1016,Dive Bomber,1942,0,1
1017,Dive-Hi Champs,1947,0,1
1018,Divided We Fall,2001,0,1
1019,Divorce American Style,1968,0,1
1020,Divorce--Italian Style,1963,1,3
1021,Django Unchained,2013,2,5
1022,Do the Right Thing,1990,0,2
1023,Doctor De Soto,1985,0,1
1024,Doctor Dolittle,1968,2,9
1025,Doctor Strange,2017,0,1
1026,Doctor Zhivago,1966,5,10
1027,Dodes'ka-Den,1972,0,1
1028,Dodsworth,1937,1,7
1029,Dog Day Afternoon,1976,1,6
1030,"Dog, Cat and Canary",1945,0,1
1031,Dogtooth,2011,0,1
1032,Doing Time: Life inside the Big House,1992,0,1
1033,Dolphins,2001,0,1
1034,Don Juan DeMarco,1996,0,1
1035,Don't,1975,1,1
1036,Don't Mess with Bill,1981,0,1
1037,Don't Talk,1943,0,1
1038,Don't Tell,2006,0,1
1039,Donald in Mathmagic Land,1960,0,1
1040,Donald's Crime,1946,0,1
1041,Donnie Brasco,1998,0,1
1042,Double Feature,1985,0,1
1043,Double Indemnity,1945,0,7
1044,Double or Nothing,1937,0,1
1045,Doubletalk,1976,0,1
1046,Doubt,2009,0,5
1047,Down Argentine Way,1941,0,3
1048,Down and Out in America,1987,0,1
1049,Down on the Farm,1942,0,1
1050,Down on the Waterfront,1994,0,1
1051,Downfall,2005,0,1
1052,Dr. Cyclops,1941,0,1
1053,Dr. Ehrlich's Magic Bullet,1941,0,1
1054,Dr. Jekyll and Mr. Hyde,1933,0,3
1055,Dr. Jekyll and Mr. Hyde,1942,0,3
1056,Dr. Jekyll and Mr. Mouse,1948,0,1
1057,Dr. Seuss' How the Grinch Stole Christmas,2001,1,3
1058,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,0,4
1059,Drag,1930,0,1
1060,Dragon Seed,1945,0,2
1061,Dragonheart,1997,0,1
1062,Dragonslayer,1982,0,2
1063,Dream Doll,1980,0,1
1064,Dream Wife,1954,0,1
1065,Dreamgirls,2007,2,8
1066,Drive,2012,0,1
1067,Driving Miss Daisy,1990,4,9
1068,Drums along the Mohawk,1940,0,1
1069,Drunk Driving,1940,0,1
1070,Duel in the Sun,1947,0,2
1071,Duke of Groove,1996,0,1
1072,Dumbo,1942,1,2
1073,Dummy Ache,1937,0,1
1074,Dune,1985,0,1
1075,Dunkirk,2018,3,8
1076,Duo,1969,0,1
1077,Dust of Life,1996,0,1
1078,Dylan Thomas,1963,1,1
1079,Dynamite,1930,0,1
1080,E.T. The Extra-Terrestrial,1983,4,9
1081,Earl Carroll Vanities,1946,0,1
1082,Earthquake,1975,1,4
1083,East Lynne,1932,0,1
1084,East of Eden,1956,1,4
1085,East-West,2000,0,1
1086,Easter Parade,1949,1,1
1087,Eastern Promises,2008,0,1
1088,Easy Rider,1970,0,2
1089,Eat Drink Man Woman,1995,0,1
1090,Ed Wood,1995,2,2
1091,"Edison, the Man",1941,0,1
1092,Edith+Eddie,2018,0,1
1093,Educated Fish,1938,0,1
1094,Educating Peter,1993,1,1
1095,Educating Rita,1984,0,3
1096,Edward Scissorhands,1991,0,1
1097,"Edward, My Son",1950,0,1
1098,Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott,1982,0,1
1099,El Amor Brujo,1968,0,1
1100,El Cid,1962,0,3
1101,El Crimen del Padre Amaro,2003,0,1
1102,El Norte,1985,0,1
1103,El Salvador: Another Vietnam,1982,0,1
1104,Election,2000,0,1
1105,Election Night (Valgaften),1999,1,1
1106,Electra,1963,0,1
1107,Elizabeth,1999,1,7
1108,Elizabeth: The Golden Age,2008,1,2
1109,Elle,2017,0,1
1110,Elling,2002,0,1
1111,Elmer Gantry,1961,3,5
1112,Embrace of the Serpent,2016,0,1
1113,Emma,1933,0,1
1114,Emma,1997,1,2
1115,Empire of the Sun,1988,0,6
1116,Employees Only,1959,0,1
1117,Enchanted,2008,0,3
1118,Enchanted April,1993,0,3
1119,Encounters at the End of the World,2009,0,1
1120,End Game,2019,0,1
1121,Endless Love,1982,0,1
1122,"Enemies, A Love Story",1990,0,3
1123,Ennemis Intérieurs,2017,0,1
1124,Enron: The Smartest Guys in the Room,2006,0,1
1125,Entre Nous,1984,0,1
1126,Equus,1978,0,3
1127,Eraser,1997,0,1
1128,Erin Brockovich,2001,1,5
1129,Ernest & Celestine,2014,0,1
1130,Ernst & Lyset,1997,0,1
1131,Ersatz (The Substitute),1962,1,1
1132,Escape Me Never,1936,0,1
1133,Eskimo,1935,1,1
1134,Esposados,1997,0,1
1135,Eternal Sunshine of the Spotless Mind,2005,1,2
1136,Eternally Yours,1940,0,1
1137,Europa Europa,1992,0,1
1138,Every Child,1980,1,1
1139,Every Day's a Holiday,1938,0,1
1140,Everybody Famous!,2001,0,1
1141,Everything Will Be Okay (Alles Wird Gut),2016,0,1
1142,Everything in This Country Must,2005,0,1
1143,Evil,2004,0,1
1144,Evita,1997,1,5
1145,Evolution,1972,0,1
1146,Ex Machina,2016,1,2
1147,Excalibur,1982,0,1
1148,Executive Suite,1955,0,4
1149,Exit,1987,0,1
1150,Exit through the Gift Shop,2011,0,1
1151,Exodus,1961,1,3
1152,Experiment Perilous,1946,0,1
1153,Exploratorium,1975,0,1
1154,Extremely Loud & Incredibly Close,2012,0,2
1155,Extremis,2017,0,1
1156,Eyes of the Navy,1941,0,1
1157,Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965,1988,0,1
1158,Eyewitness,2000,0,1
1159,Face to Face,1977,0,2
1160,Face/Off,1998,0,1
1161,Faces,1969,0,3
1162,Faces Places,2018,0,1
1163,Facing Fear,2014,0,1
1164,Facing Your Danger,1947,1,1
1165,Fait D'Hiver,2003,0,1
1166,Fall Line,1981,0,1
1167,Fame,1981,2,6
1168,Family Gathering,1989,0,1
1169,Famous Fred,1998,0,1
1170,Fanny,1962,0,5
1171,Fanny & Alexander,1984,4,6
1172,Fantastic Beasts and Where to Find Them,2017,1,2
1173,Fantastic Mr. Fox,2010,0,2
1174,Fantastic Voyage,1967,2,5
1175,Far from Heaven,2003,0,4
1176,Far from the Madding Crowd,1968,0,1
1177,Farewell My Concubine,1994,0,2
1178,"Farewell, My Lovely",1976,0,1
1179,Fargo,1997,2,7
1180,Farinelli: Il Castrato,1995,0,1
1181,Fat City,1973,0,1
1182,Fatal Attraction,1988,0,6
1183,Fate Is the Hunter,1965,0,1
1184,Father Goose,1965,1,3
1185,Father and Daughter,2001,1,1
1186,Father of the Bride,1951,0,3
1187,Fauve,2019,0,1
1188,Fearless,1994,0,1
1189,Feast,2015,1,1
1190,Federico Fellini's 8-1/2,1964,2,5
1191,Fellini Satyricon,1971,0,1
1192,Fellini's Casanova,1977,1,2
1193,Fences,2017,1,4
1194,Feral,2014,0,1
1195,Ferdinand,2018,0,1
1196,Ferdinand the Bull,1939,1,1
1197,Ferry Tales,2004,0,1
1198,Festival,1968,0,1
1199,Fiddlefest--Roberta Tzavaras and Her East Harlem Violin Program,1996,0,1
1200,Fiddler on the Roof,1972,3,8
1201,Field of Dreams,1990,0,3
1202,Fiesta,1948,0,1
1203,Fifty Percent Grey,2002,0,1
1204,Fifty Shades of Grey,2016,0,1
1205,Fight Club,2000,0,1
1206,Fight of the Wild Stallions,1948,0,1
1207,Fighting for Our Lives,1976,0,1
1208,Finding Nemo,2004,1,4
1209,Finding Neverland,2005,1,7
1210,Finding Vivian Maier,2015,0,1
1211,"Fine Food, Fine Pastries, Open 6 to 9",1990,0,1
1212,Finian's Rainbow,1969,0,2
1213,Fire at Sea,2017,0,1
1214,Fires of Kuwait,1993,0,1
1215,First Contact,1984,0,1
1216,First Edition,1978,0,1
1217,First Love,1940,0,2
1218,First Love,1971,0,1
1219,First Man,2019,1,4
1220,First Reformed,2019,0,1
1221,First Steps,1948,1,1
1222,First Winter,1982,0,1
1223,Fish Fry,1945,0,1
1224,Five Easy Pieces,1971,0,4
1225,Five Fingers,1953,0,2
1226,Five Graves to Cairo,1944,0,3
1227,Five Star Final,1933,0,1
1228,Five Times Five,1940,0,1
1229,Flags of Our Fathers,2007,0,2
1230,Flame of Barbary Coast,1946,0,2
1231,Flamenco at 5:15,1984,1,1
1232,Flashdance,1984,1,4
1233,Flat Top,1953,0,1
1234,Flatliners,1991,0,1
1235,Flight,2013,0,2
1236,Flight Command,1942,0,1
1237,Flight for Freedom,1944,0,1
1238,Flirtation Walk,1935,0,2
1239,Floating Free,1978,0,1
1240,Florence Foster Jenkins,2017,0,2
1241,Flower Drum Song,1962,0,5
1242,Flowers and Trees,1933,1,1
1243,Fly Away Home,1997,0,1
1244,Flying Down to Rio,1935,0,1
1245,Flying Tigers,1943,0,3
1246,Flying with Music,1943,0,2
1247,Folies Bergere,1936,0,1
1248,Follow the Boys,1945,0,1
1249,"Food, Inc.",2010,0,1
1250,Foothold on Antarctica,1958,0,1
1251,Footloose,1985,0,2
1252,Footnote,2012,0,1
1253,For All Mankind,1990,0,1
1254,For Better or for Worse,1994,0,1
1255,For Love of Ivy,1969,0,1
1256,For Me and My Gal,1943,0,1
1257,For Scent-Imental Reasons,1950,1,1
1258,For Whom the Bell Tolls,1944,1,9
1259,For Your Eyes Only,1982,0,1
1260,For the Birds,2002,1,1
1261,For the Boys,1992,0,1
1262,Forbidden Games,1955,0,1
1263,Forbidden Passage,1942,0,1
1264,Forbidden Planet,1957,0,1
1265,Foreign Correspondent,1941,0,6
1266,Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,1991,0,1
1267,Forever Amber,1948,0,1
1268,Forrest Gump,1995,6,13
1269,Fortress of Peace,1966,0,1
1270,Forty Boys and a Song,1942,0,1
1271,Foul Play,1979,0,1
1272,Four Daughters,1939,0,5
1273,Four Days in November,1965,0,1
1274,Four Days in September,1998,0,1
1275,Four Devils,1930,0,1
1276,Four Stones for Kanemitsu,1974,0,1
1277,Four Weddings and a Funeral,1995,0,2
1278,Fourteen Hours,1952,0,1
1279,Foxcatcher,2015,0,5
1280,Frances,1983,0,2
1281,Frances Steloff: Memoirs of a Bookseller,1988,0,1
1282,Frank Film,1974,1,1
1283,Frankenweenie,2013,0,1
1284,Franz Kafka's It's a Wonderful Life,1995,1,1
1285,Free Solo,2019,1,1
1286,Freedom on My Mind,1995,0,1
1287,Freeheld,2008,1,1
1288,French Roast,2010,0,1
1289,Frenchman's Creek,1946,1,1
1290,Fresh Guacamole,2013,0,1
1291,Freud,1963,0,2
1292,Frida,2003,2,6
1293,Fried Green Tomatoes,1992,0,2
1294,Friendly Enemies,1943,0,1
1295,Friendly Persuasion,1957,0,6
1296,Frog Story,1973,0,1
1297,From A to Z-Z-Z-Z,1954,0,1
1298,From Generation to Generation,1960,0,1
1299,From Here to Eternity,1954,8,13
1300,From Mao to Mozart: Isaac Stern in China,1981,1,1
1301,Front Line,1981,0,1
1302,Frost/Nixon,2009,0,5
1303,Frozen,2014,2,2
1304,Frozen River,2009,0,2
1305,Full Metal Jacket,1988,0,1
1306,Funny Face,1958,0,4
1307,Funny Girl,1969,0,8
1308,Funny Lady,1976,0,5
1309,Fury,1937,0,1
1310,G-Men,1936,0,1
1311,G. I. Honeymoon,1946,0,1
1312,G. I. Joe,1946,0,4
1313,Gaby - A True Story,1988,0,1
1314,Gadgets Galore,1956,0,1
1315,Gagarin,1996,0,1
1316,"Gaily, Gaily",1970,0,3
1317,Gambit,1967,0,3
1318,Gandhi,1983,8,11
1319,Gang Cops,1989,0,1
1320,Gangs of New York,2003,0,10
1321,Garden Party,2018,0,1
1322,Gasland,2011,0,1
1323,Gaslight,1945,2,7
1324,Gate of Hell,1955,1,1
1325,Gates of Paris,1958,0,1
1326,Gattaca,1998,0,1
1327,General Della Rovere,1962,0,1
1328,General Spanky,1937,0,1
1329,Generation on the Wind,1980,0,1
1330,Genevieve,1955,0,2
1331,Genghis Blues,2000,0,1
1332,Genocide,1982,1,1
1333,Gentleman's Agreement,1948,3,8
1334,George Grosz' Interregnum,1961,0,1
1335,George Washington Slept Here,1943,0,1
1336,George and Rosemary,1988,0,1
1337,Georgia,1996,0,1
1338,Georgy Girl,1967,0,4
1339,Gerald McBoing-Boing,1951,1,1
1340,Gerald McBoing-Boing on Planet Moo,1957,0,1
1341,Geri's Game,1998,1,1
1342,Geronimo: An American Legend,1994,0,1
1343,Gervaise,1957,0,1
1344,Get Out,2018,1,4
1345,Get Out Your Handkerchiefs,1979,1,1
1346,Get a Horse!,2014,0,1
1347,Ghost,1991,2,5
1348,Ghost World,2002,0,1
1349,Ghostbusters,1985,0,2
1350,Ghosts of Mississippi,1997,0,2
1351,Giant,1957,1,10
1352,Gigi,1959,9,9
1353,Gigot,1963,0,1
1354,Girl with a Pearl Earring,2004,0,3
1355,"Girl, Interrupted",2000,1,1
1356,Girls' School,1939,0,1
1357,Giuseppina,1961,1,1
1358,"Give 'em Hell, Harry!",1976,0,1
1359,Give Me Liberty,1937,1,1
1360,Give Up Yer Aul Sins,2002,0,1
1361,Give Us the Earth,1948,0,1
1362,Gladiator,2001,5,12
1363,Glass,1960,1,1
1364,Glen Campbell…I’ll Be Me,2015,0,1
1365,Glengarry Glen Ross,1993,0,1
1366,Gloria,1981,0,1
1367,Glorious Betsy,1929,0,1
1368,Glory,1990,3,5
1369,Go for Broke!,1952,0,1
1370,Go into Your Dance,1936,0,1
1371,God Is the Bigger Elvis,2012,0,1
1372,God Sleeps in Rwanda,2006,0,1
1373,God of Love,2011,1,1
1374,Gods and Monsters,1999,1,3
1375,Gods of Metal,1983,0,1
1376,Going My Way,1945,7,10
1377,Going Places,1939,0,1
1378,Going the Distance,1980,0,1
1379,Going to Blazes,1949,0,1
1380,Gold,1975,0,1
1381,Gold Diggers of 1933,1934,0,1
1382,Gold Diggers of 1935,1936,1,3
1383,Gold Diggers of 1937,1937,0,1
1384,Golden Boy,1940,0,1
1385,Golden Girl,1952,0,1
1386,Golden Horses,1947,0,1
1387,Goldfinger,1965,1,1
1388,Goliath II,1961,0,1
1389,Gone Baby Gone,2008,0,1
1390,Gone Girl,2015,0,1
1391,Gone Nutty,2004,0,1
1392,Gone with the Wind,1940,8,13
1393,Good Fellas,1991,1,6
1394,Good Morning,1972,0,1
1395,"Good Morning, Vietnam",1988,0,1
1396,Good News,1948,0,1
1397,"Good Night, and Good Luck.",2006,0,6
1398,Good Scouts,1939,0,1
1399,Good Will Hunting,1998,2,9
1400,Good Will to Men,1956,0,1
1401,Good-bye Miss Turlock,1948,1,1
1402,"Goodbye, Columbus",1970,0,1
1403,"Goodbye, Mr. Chips",1940,1,7
1404,"Goodbye, Mr. Chips",1970,0,2
1405,Goodie-Two-Shoes,1984,0,1
1406,Goodnight Miss Ann,1979,0,1
1407,Gopher Broke,2005,0,1
1408,Gorillas in the Mist,1989,0,5
1409,Gosford Park,2002,1,7
1410,Graffiti,1986,0,1
1411,Grand Canyon,1959,1,1
1412,Grand Canyon,1992,0,1
1413,Grand Hotel,1933,1,1
1414,Grand Illusion,1939,0,1
1415,Grand Prix,1967,3,3
1416,Grandad of Races,1951,1,1
1417,Grandma Moses,1951,0,1
1418,Granny O'Grimm's Sleeping Beauty,2010,0,1
1419,Grasshoppers (Cavallette),1991,0,1
1420,Gravity,2014,7,10
1421,Gravity Is My Enemy,1978,1,1
1422,Grease,1979,0,1
1423,Great,1976,1,1
1424,Great Expectations,1948,2,5
1425,Green Book,2019,3,5
1426,Green Card,1991,0,1
1427,Green Dolphin Street,1948,1,4
1428,Green Grass of Wyoming,1949,0,1
1429,Greetings Bait!,1944,0,1
1430,"Greg Cannom, Michèle Burke, Matthew W. Mung",1993,1,1
1431,Gregor's Greatest Invention,2002,0,1
1432,"Greystoke: The Legend of Tarzan, Lord of the Apes",1985,0,3
1433,Guard Dog,2005,0,1
1434,Guardians of the Galaxy,2015,0,2
1435,Guardians of the Galaxy Vol. 2,2018,0,1
1436,Guess Who's Coming to Dinner,1968,2,10
1437,Guest Wife,1946,0,1
1438,Guest in the House,1946,0,1
1439,Gullah Tales,1989,0,1
1440,Gulliver's Travels,1940,0,2
1441,Gunfight at the O.K. Corral,1958,0,2
1442,Guys and Dolls,1956,0,4
1443,Gypsy,1963,0,3
1444,Hacksaw Ridge,2017,2,6
1445,Hail the Conquering Hero,1945,0,1
1446,"Hail, Caesar!",2017,0,1
1447,"Hale County This Morning, This Evening",2019,0,1
1448,Half Nelson,2007,0,1
1449,Half a House,1977,0,1
1450,Hallelujah,1931,0,1
1451,Hamlet,1949,4,7
1452,Hamlet,1991,0,2
1453,Hamlet,1997,0,4
1454,Hangmen Also Die,1944,0,2
1455,Hank Aaron: Chasing the Dream,1996,0,1
1456,Hannah and Her Sisters,1987,3,7
1457,Hans Christian Andersen,1953,0,6
1458,Hanussen,1989,0,1
1459,Happy Feet,2007,1,1
1460,Happy New Year,1988,0,1
1461,Happy-Go-Lucky,2009,0,1
1462,Hardwood,2005,0,1
1463,"Harlan County, U.S.A.",1977,1,1
1464,Harlem Nights,1990,0,1
1465,Harp of Burma,1957,0,1
1466,Harry Potter and the Deathly Hallows Part 1,2011,0,2
1467,Harry Potter and the Deathly Hallows Part 2,2012,0,3
1468,Harry Potter and the Goblet of Fire,2006,0,1
1469,Harry Potter and the Half-Blood Prince,2010,0,1
1470,Harry Potter and the Prisoner of Azkaban,2005,0,2
1471,Harry Potter and the Sorcerer's Stone,2002,0,3
1472,Harry and Tonto,1975,1,2
1473,Harry and the Butler,1962,0,1
1474,Harry and the Hendersons,1988,1,1
1475,Harvest,1968,0,1
1476,Harvey,1951,1,2
1477,Harvie Krumpet,2004,1,1
1478,Hatari!,1963,0,1
1479,Hatch Up Your Troubles,1950,0,1
1480,Havana,1991,0,1
1481,Hawaii,1967,0,7
1482,He Makes Me Feel Like Dancin',1984,1,1
1483,Head over Heels,2013,0,1
1484,Heart Like a Wheel,1984,0,1
1485,Heart to Heart,1949,0,1
1486,Heartbeeps,1982,0,1
1487,Heartbreak Ridge,1956,0,1
1488,Heartbreak Ridge,1987,0,1
1489,Hearts and Minds,1975,1,1
1490,Heaven Can Wait,1944,0,3
1491,Heaven Can Wait,1979,1,9
1492,Heaven Is a Traffic Jam on the 405,2018,1,1
1493,"Heaven Knows, Mr. Allison",1958,0,2
1494,Heaven's Gate,1982,0,1
1495,Heavenly Creatures,1995,0,1
1496,Heavenly Music,1944,1,1
1497,Hedd Wyn,1994,0,1
1498,Hedda,1976,0,1
1499,Helen Keller in Her Story,1956,1,1
1500,Helicopter Canada,1967,0,1
1501,Helium,2014,1,1
1502,Hell and Back Again,2012,0,1
1503,Hell and High Water,1955,0,1
1504,Hell or High Water,2017,0,4
1505,Hell's Angels,1931,0,1
1506,Hellboy II: The Golden Army,2009,0,1
1507,Hellfire: A Journey from Hiroshima,1988,0,1
1508,"Hello, Dolly!",1970,3,7
1509,"Hello, Frisco, Hello",1944,1,2
1510,Hellzapoppin',1943,0,1
1511,Helmer & Son,2007,0,1
1512,Help! My Snowman's Burning Down,1965,0,1
1513,Henry,2013,0,1
1514,Henry & June,1991,0,1
1515,"Henry Browne, Farmer",1943,0,1
1516,Henry V,1947,0,4
1517,Henry V,1990,1,3
1518,Her,2014,1,5
1519,Herb Alpert and the Tijuana Brass Double Feature,1967,1,1
1520,Hercules,1998,0,1
1521,Here Come the Waves,1946,0,1
1522,Here Comes Mr. Jordan,1942,2,7
1523,Here Comes the Groom,1952,1,2
1524,Here Comes the Navy,1935,0,1
1525,Hereafter,2011,0,1
1526,Hero,2003,0,1
1527,Heroin(e),2018,0,1
1528,Herring Hunt,1954,0,1
1529,Hers to Hold,1944,0,1
1530,Hester Street,1976,0,1
1531,Heureux Anniversaire (Happy Anniversary),1963,1,1
1532,Hi Diddle Diddle,1944,0,1
